year,area_of_residence,STATISTIC,value
2013,Dublin City,VSA38,15.2
2008,Sligo,VSA38,15.2
2013,Westmeath,VSA38,15.2
2012,Wexford,VSA38,15.2
2010,Kilkenny,VSA38,15.2
2008,Monaghan,VSA38,15.1
2011,West,VSA38,15.1
2014,Louth,VSA38,15.1
2017,Fingal,VSA38,15.1
2010,Border,VSA38,15.1
2012,South-West,VSA38,15.1
2014,Dublin City,VSA38,15.0
2008,Limerick City,VSA38,15.0
2013,State,VSA38,15.0
2013,Limerick City,VSA38,15.0
2012,Offaly,VSA38,15.0
2009,Dublin City,VSA38,15.0
2011,Connacht,VSA38,14.9
2011,Kilkenny,VSA38,14.9
2018,Fingal,VSA38,14.9
2013,Wicklow,VSA38,14.9
2016,Longford,VSA38,14.9
2010,Leitrim,VSA38,14.9
2009,Roscommon,VSA38,14.9
2013,Laois,VSA38,14.8
2008,Roscommon,VSA38,14.8
2010,Ulster (part of),VSA38,14.8
2016,Galway City,VSA38,14.8
2012,Sligo,VSA38,14.8
2015,Dublin,VSA38,14.8
2010,Waterford County,VSA38,14.8
2013,Galway County,VSA38,14.8
2012,Munster,VSA38,14.8
2011,Clare,VSA38,14.8
2012,Mid-West,VSA38,14.8
2016,South Dublin,VSA38,14.8
2013,North Tipperary,VSA38,14.8
2009,Kerry,VSA38,14.8
2012,South-East,VSA38,14.8
2014,Cavan,VSA38,14.7
2008,Donegal,VSA38,14.7
2014,Cork County,VSA38,14.7
2013,Midland,VSA38,14.7
2012,West,VSA38,14.7
2016,Limerick City,VSA38,14.7
2012,Connacht,VSA38,14.7
2011,Border,VSA38,14.7
2012,Limerick City,VSA38,14.7
2015,Mid-East,VSA38,14.7
2015,Louth,VSA38,14.7
2016,Kildare,VSA38,14.7
2015,Galway City,VSA38,14.7
2012,North Tipperary,VSA38,14.6
2010,Monaghan,VSA38,14.6
2011,Ulster (part of),VSA38,14.6
2014,State,VSA38,14.6
2008,Mayo,VSA38,14.6
2014,Midland,VSA38,14.6
2012,Clare,VSA38,14.5
2015,Meath,VSA38,14.5
2008,Dublin City,VSA38,14.5
2012,Kilkenny,VSA38,14.5
2014,Offaly,VSA38,14.5
2011,Monaghan,VSA38,14.5
2010,Sligo,VSA38,14.5
2015,Leinster,VSA38,14.5
2015,Cork County,VSA38,14.5
2015,Carlow,VSA38,14.5
2014,Wicklow,VSA38,14.4
2011,Leitrim,VSA38,14.4
2010,Clare,VSA38,14.4
2011,Waterford County,VSA38,14.4
2014,Galway County,VSA38,14.4
2015,Longford,VSA38,14.4
2013,Leitrim,VSA38,14.4
2015,Limerick City,VSA38,14.4
2013,West,VSA38,14.3
2012,Border,VSA38,14.3
2014,Laois,VSA38,14.3
2013,South-West,VSA38,14.3
2013,South-East,VSA38,14.3
2011,Sligo,VSA38,14.3
2008,South Tipperary,VSA38,14.3
2016,Dublin,VSA38,14.3
2018,Carlow,VSA38,14.3
2013,Connacht,VSA38,14.3
2013,Limerick County,VSA38,14.3
2015,North Tipperary,VSA38,14.2
2015,Dublin City,VSA38,14.2
2010,Mayo,VSA38,14.2
2015,Laois,VSA38,14.2
2015,Cavan,VSA38,14.2
2012,Leitrim,VSA38,14.2
2017,Westmeath,VSA38,14.2
2014,Wexford,VSA38,14.2
2009,Monaghan,VSA38,14.2
2008,Kerry,VSA38,14.2
2013,Monaghan,VSA38,14.2
2013,Munster,VSA38,14.2
2015,Wicklow,VSA38,14.1
2014,South-East,VSA38,14.1
2015,Limerick County,VSA38,14.1
2014,Longford,VSA38,14.1
2016,Westmeath,VSA38,14.1
2016,Mid-East,VSA38,14.1
2016,Meath,VSA38,14.1
2015,Waterford City,VSA38,14.1
2016,Cavan,VSA38,14.1
2015,Westmeath,VSA38,14.1
2013,Border,VSA38,14.1
2010,Roscommon,VSA38,14.1
2010,Cork City,VSA38,14.1
2009,Dun Laoghaire-Rathdown,VSA38,14.1
2017,Kildare,VSA38,14.0
2013,Mid-West,VSA38,14.0
2008,Galway City,VSA38,14.0
2015,State,VSA38,14.0
2011,Kerry,VSA38,14.0
2009,Limerick City,VSA38,14.0
2009,Cork City,VSA38,14.0
2009,Mayo,VSA38,14.0
2016,Leinster,VSA38,14.0
2013,Wexford,VSA38,13.9
2018,South Dublin,VSA38,13.9
2017,Laois,VSA38,13.9
2015,Galway County,VSA38,13.9
2014,West,VSA38,13.9
2011,Mayo,VSA38,13.9
2010,Donegal,VSA38,13.9
2016,Louth,VSA38,13.9
2011,South Tipperary,VSA38,13.8
2012,Ulster (part of),VSA38,13.8
2013,Kilkenny,VSA38,13.8
2015,Midland,VSA38,13.8
2014,South-West,VSA38,13.8
2013,Sligo,VSA38,13.8
2010,Dun Laoghaire-Rathdown,VSA38,13.8
2014,Limerick County,VSA38,13.8
2011,Dun Laoghaire-Rathdown,VSA38,13.8
2015,Mid-West,VSA38,13.8
2017,Cavan,VSA38,13.7
2012,Monaghan,VSA38,13.7
2019,Limerick City,VSA38,13.7
2019,Longford,VSA38,13.7
2009,Galway City,VSA38,13.7
2019,Fingal,VSA38,13.7
2014,Monaghan,VSA38,13.7
2014,Munster,VSA38,13.7
2014,Connacht,VSA38,13.7
2013,Offaly,VSA38,13.7
2014,Kilkenny,VSA38,13.6
2012,Dun Laoghaire-Rathdown,VSA38,13.6
2014,Mid-West,VSA38,13.6
2013,Waterford County,VSA38,13.6
2011,Limerick City,VSA38,13.6
2015,Munster,VSA38,13.6
2010,South Tipperary,VSA38,13.6
2010,Limerick City,VSA38,13.6
2016,Galway County,VSA38,13.6
2017,Midland,VSA38,13.6
2014,Dun Laoghaire-Rathdown,VSA38,13.6
2016,Midland,VSA38,13.6
2017,Meath,VSA38,13.6
2013,Dun Laoghaire-Rathdown,VSA38,13.6
2015,South-West,VSA38,13.6
2016,Waterford County,VSA38,13.6
2018,Limerick City,VSA38,13.6
2019,South Dublin,VSA38,13.6
2015,Wexford,VSA38,13.5
2013,Ulster (part of),VSA38,13.5
2011,Donegal,VSA38,13.5
2011,Cork City,VSA38,13.5
2017,Dublin,VSA38,13.5
2010,Kerry,VSA38,13.5
2017,Mid-East,VSA38,13.5
2016,Dublin City,VSA38,13.5
2013,South Tipperary,VSA38,13.5
2017,Limerick City,VSA38,13.5
2011,Roscommon,VSA38,13.5
2012,Kerry,VSA38,13.5
2008,Dun Laoghaire-Rathdown,VSA38,13.5
2016,State,VSA38,13.5
2017,Leinster,VSA38,13.4
2021,Fingal,VSA38,13.4
2012,Mayo,VSA38,13.4
2016,Cork County,VSA38,13.4
2016,Wicklow,VSA38,13.4
2017,Galway County,VSA38,13.4
2018,Westmeath,VSA38,13.4
2014,Border,VSA38,13.4
2014,North Tipperary,VSA38,13.4
2017,Carlow,VSA38,13.4
2012,Roscommon,VSA38,13.4
2018,Kildare,VSA38,13.3
2016,Carlow,VSA38,13.3
2016,Laois,VSA38,13.3
2015,Monaghan,VSA38,13.3
2015,South-East,VSA38,13.3
2017,Louth,VSA38,13.3
2012,South Tipperary,VSA38,13.3
2021,Meath,VSA38,13.2
2018,Cavan,VSA38,13.2
2018,Waterford City,VSA38,13.2
2018,Longford,VSA38,13.2
2013,Roscommon,VSA38,13.2
2015,West,VSA38,13.2
2019,Meath,VSA38,13.2
2015,Border,VSA38,13.2
2021,Monaghan,VSA38,13.1
2016,Monaghan,VSA38,13.1
2017,Longford,VSA38,13.1
2013,Mayo,VSA38,13.1
2018,Monaghan,VSA38,13.1
2018,Dublin,VSA38,13.1
2015,Connacht,VSA38,13.1
2021,Westmeath,VSA38,13.0
2016,South Tipperary,VSA38,13.0
2015,Clare,VSA38,13.0
2016,Mid-West,VSA38,13.0
2016,Limerick County,VSA38,13.0
2016,Leitrim,VSA38,13.0
2016,West,VSA38,13.0
2015,Waterford County,VSA38,13.0
2017,Dublin City,VSA38,13.0
2015,Leitrim,VSA38,13.0
2018,Meath,VSA38,13.0
2017,Cork County,VSA38,13.0
2015,Dun Laoghaire-Rathdown,VSA38,13.0
2017,Limerick County,VSA38,13.0
2008,Cork City,VSA38,12.9
2019,Waterford City,VSA38,12.9
2016,Munster,VSA38,12.9
2019,Leitrim,VSA38,12.9
2014,Cork City,VSA38,12.9
2014,Sligo,VSA38,12.9
