year,age_group,sex,nuts_3_region,STATISTIC,value
2024,10 - 14 years,Female,Ireland,PEA26C01,185740.0
2023,10 - 14 years,Female,Ireland,PEA26C01,185551.0
2023,35 - 39 years,Male,Ireland,PEA26C01,184500.0
2024,15 - 19 years,Male,Ireland,PEA26C01,183781.0
2024,35 - 39 years,Male,Ireland,PEA26C01,182787.0
2024,50 - 54 years,Female,Ireland,PEA26C01,182724.0
2024,50 - 54 years,Male,Ireland,PEA26C01,179719.0
2023,15 - 19 years,Male,Ireland,PEA26C01,176634.0
2023,50 - 54 years,Female,Ireland,PEA26C01,175858.0
2023,5 - 9 years,Male,Ireland,PEA26C01,175211.0
2023,50 - 54 years,Male,Ireland,PEA26C01,175134.0
2023,30 - 34 years,Female,Ireland,PEA26C01,174552.0
2024,30 - 34 years,Female,Ireland,PEA26C01,173529.0
2024,5 - 9 years,Male,Ireland,PEA26C01,173143.0
2024,15 - 19 years,Female,Ireland,PEA26C01,171817.0
2024,75 - 79 years,Both sexes,Ireland,PEA26C01,167279.0
2024,All ages,Female,Midland,PEA26C01,167072.0
2023,15 - 19 years,Female,Ireland,PEA26C01,166905.0
2023,5 - 9 years,Female,Ireland,PEA26C01,166756.0
2024,5 - 9 years,Female,Ireland,PEA26C01,165145.0
2023,30 - 34 years,Male,Ireland,PEA26C01,164757.0
2024,30 - 34 years,Male,Ireland,PEA26C01,164582.0
2024,All ages,Male,Midland,PEA26C01,164458.0
2024,20 - 24 years,Male,Ireland,PEA26C01,163867.0
2023,All ages,Female,Midland,PEA26C01,163195.0
2024,55 - 59 years,Female,Ireland,PEA26C01,162456.0
2023,All ages,Male,Midland,PEA26C01,161431.0
2023,75 - 79 years,Both sexes,Ireland,PEA26C01,160558.0
2023,20 - 24 years,Male,Ireland,PEA26C01,159913.0
2023,55 - 59 years,Female,Ireland,PEA26C01,159571.0
2024,25 - 29 years,Male,Ireland,PEA26C01,159096.0
2024,55 - 59 years,Male,Ireland,PEA26C01,158211.0
2024,25 - 29 years,Female,Ireland,PEA26C01,157084.0
2024,20 - 24 years,Female,Ireland,PEA26C01,155717.0
2023,55 - 59 years,Male,Ireland,PEA26C01,155312.0
2023,25 - 29 years,Male,Ireland,PEA26C01,154959.0
2023,25 - 29 years,Female,Ireland,PEA26C01,154600.0
2023,20 - 24 years,Female,Ireland,PEA26C01,154524.0
2023,0 - 4 years,Male,Ireland,PEA26C01,151676.0
2024,60 - 64 years,Female,Ireland,PEA26C01,149294.0
2024,0 - 4 years,Male,Ireland,PEA26C01,149260.0
2023,0 - 4 years,Female,Ireland,PEA26C01,146331.0
2024,0 - 4 years,Female,Ireland,PEA26C01,144371.0
2023,60 - 64 years,Female,Ireland,PEA26C01,143847.0
2024,60 - 64 years,Male,Ireland,PEA26C01,143516.0
2023,60 - 64 years,Male,Ireland,PEA26C01,139320.0
2024,40 - 44 years,Both sexes,Dublin,PEA26C01,131865.0
2023,40 - 44 years,Both sexes,Dublin,PEA26C01,127670.0
2024,65 - 69 years,Female,Ireland,PEA26C01,127531.0
2024,35 - 39 years,Both sexes,Dublin,PEA26C01,126978.0
2023,35 - 39 years,Both sexes,Dublin,PEA26C01,124419.0
2023,65 - 69 years,Female,Ireland,PEA26C01,124080.0
2024,30 - 34 years,Both sexes,Dublin,PEA26C01,123318.0
2024,65 - 69 years,Male,Ireland,PEA26C01,122782.0
2023,30 - 34 years,Both sexes,Dublin,PEA26C01,121853.0
2023,65 - 69 years,Male,Ireland,PEA26C01,120061.0
2023,25 - 29 years,Both sexes,Dublin,PEA26C01,113203.0
2024,25 - 29 years,Both sexes,Dublin,PEA26C01,110960.0
2024,45 - 49 years,Both sexes,Dublin,PEA26C01,109987.0
2024,70 - 74 years,Female,Ireland,PEA26C01,109616.0
2023,70 - 74 years,Female,Ireland,PEA26C01,106831.0
2023,45 - 49 years,Both sexes,Dublin,PEA26C01,106803.0
2024,80 - 84 years,Both sexes,Ireland,PEA26C01,105484.0
2024,70 - 74 years,Male,Ireland,PEA26C01,104088.0
2023,70 - 74 years,Male,Ireland,PEA26C01,101842.0
2024,10 - 14 years,Both sexes,Dublin,PEA26C01,100316.0
2023,80 - 84 years,Both sexes,Ireland,PEA26C01,100109.0
2023,10 - 14 years,Both sexes,Dublin,PEA26C01,98734.0
2024,50 - 54 years,Both sexes,Dublin,PEA26C01,96977.0
2023,20 - 24 years,Both sexes,Dublin,PEA26C01,94810.0
2023,50 - 54 years,Both sexes,Dublin,PEA26C01,92864.0
2023,5 - 9 years,Both sexes,Dublin,PEA26C01,92710.0
2024,5 - 9 years,Both sexes,Dublin,PEA26C01,92178.0
2024,85 years and over,Both sexes,Ireland,PEA26C01,90529.0
2024,20 - 24 years,Both sexes,Dublin,PEA26C01,88891.0
2024,15 - 19 years,Both sexes,Dublin,PEA26C01,88407.0
2023,15 - 19 years,Both sexes,Dublin,PEA26C01,87674.0
2024,75 - 79 years,Female,Ireland,PEA26C01,87087.0
2023,85 years and over,Both sexes,Ireland,PEA26C01,87034.0
2024,0 - 4 years,Both sexes,Dublin,PEA26C01,84269.0
2023,75 - 79 years,Female,Ireland,PEA26C01,83559.0
2023,0 - 4 years,Both sexes,Dublin,PEA26C01,83398.0
2024,55 - 59 years,Both sexes,Dublin,PEA26C01,82117.0
2023,55 - 59 years,Both sexes,Dublin,PEA26C01,80528.0
2024,75 - 79 years,Male,Ireland,PEA26C01,80192.0
2023,75 - 79 years,Male,Ireland,PEA26C01,76999.0
2024,60 - 64 years,Both sexes,Dublin,PEA26C01,75016.0
2023,60 - 64 years,Both sexes,Dublin,PEA26C01,72360.0
2024,40 - 44 years,Female,Dublin,PEA26C01,67041.0
2024,35 - 39 years,Female,Dublin,PEA26C01,65188.0
2023,40 - 44 years,Both sexes,Mid-East,PEA26C01,64827.0
2024,40 - 44 years,Male,Dublin,PEA26C01,64824.0
2023,40 - 44 years,Female,Dublin,PEA26C01,64817.0
2024,40 - 44 years,Both sexes,Mid-East,PEA26C01,64572.0
2023,35 - 39 years,Female,Dublin,PEA26C01,63563.0
2023,40 - 44 years,Male,Dublin,PEA26C01,62853.0
2024,30 - 34 years,Female,Dublin,PEA26C01,62609.0
2023,10 - 14 years,Both sexes,Mid-East,PEA26C01,61971.0
2024,65 - 69 years,Both sexes,Dublin,PEA26C01,61933.0
2023,30 - 34 years,Female,Dublin,PEA26C01,61796.0
2024,35 - 39 years,Male,Dublin,PEA26C01,61790.0
2024,10 - 14 years,Both sexes,Mid-East,PEA26C01,61354.0
2024,45 - 49 years,Both sexes,Mid-East,PEA26C01,60873.0
