year,age_group,sex,nuts_3_region,STATISTIC,value
2024,25 - 29 years,Both sexes,West,PEA26C01,27006.0
2023,20 - 24 years,Both sexes,South-East,PEA26C01,26987.0
2024,40 - 44 years,Both sexes,Midland,PEA26C01,26931.0
2023,5 - 9 years,Female,Mid-East,PEA26C01,26625.0
2023,65 - 69 years,Both sexes,Mid-West,PEA26C01,26620.0
2024,50 - 54 years,Female,South-West,PEA26C01,26610.0
2023,0 - 4 years,Both sexes,Border,PEA26C01,26583.0
2024,65 - 69 years,Both sexes,West,PEA26C01,26506.0
2023,30 - 34 years,Both sexes,South-East,PEA26C01,26503.0
2024,50 - 54 years,Male,South-West,PEA26C01,26441.0
2023,25 - 29 years,Both sexes,West,PEA26C01,26369.0
2023,40 - 44 years,Both sexes,Midland,PEA26C01,26309.0
2024,10 - 14 years,Female,South-West,PEA26C01,26276.0
2023,35 - 39 years,Male,Mid-East,PEA26C01,26268.0
2023,10 - 14 years,Female,South-West,PEA26C01,26265.0
2023,80 - 84 years,Both sexes,Dublin,PEA26C01,26237.0
2024,75 - 79 years,Both sexes,South-West,PEA26C01,26145.0
2024,60 - 64 years,Both sexes,Border,PEA26C01,26065.0
2023,0 - 4 years,Both sexes,South-East,PEA26C01,25951.0
2023,65 - 69 years,Both sexes,West,PEA26C01,25909.0
2024,0 - 4 years,Both sexes,Border,PEA26C01,25903.0
2024,15 - 19 years,Male,South-West,PEA26C01,25825.0
2024,30 - 34 years,Both sexes,South-East,PEA26C01,25731.0
2023,50 - 54 years,Male,South-West,PEA26C01,25625.0
2023,50 - 54 years,Female,South-West,PEA26C01,25616.0
2024,20 - 24 years,Male,Mid-East,PEA26C01,25544.0
2024,5 - 9 years,Female,Mid-East,PEA26C01,25519.0
2024,35 - 39 years,Male,Mid-East,PEA26C01,25474.0
2024,15 - 19 years,Female,South-West,PEA26C01,25308.0
2023,35 - 39 years,Male,South-West,PEA26C01,25265.0
2023,60 - 64 years,Both sexes,Border,PEA26C01,25183.0
2024,85 years and over,Both sexes,Dublin,PEA26C01,25153.0
2023,10 - 14 years,Both sexes,Midland,PEA26C01,25026.0
2024,10 - 14 years,Both sexes,Midland,PEA26C01,25017.0
2024,35 - 39 years,Male,South-West,PEA26C01,24950.0
2023,75 - 79 years,Both sexes,South-West,PEA26C01,24950.0
2024,0 - 4 years,Both sexes,South-East,PEA26C01,24918.0
2023,15 - 19 years,Male,South-West,PEA26C01,24917.0
2023,5 - 9 years,Male,South-West,PEA26C01,24750.0
2024,70 - 74 years,Male,Dublin,PEA26C01,24673.0
2023,20 - 24 years,Male,Mid-East,PEA26C01,24464.0
2024,5 - 9 years,Male,South-West,PEA26C01,24333.0
2024,25 - 29 years,Both sexes,South-East,PEA26C01,24298.0
2024,45 - 49 years,Both sexes,Midland,PEA26C01,24282.0
2024,20 - 24 years,Both sexes,Border,PEA26C01,24237.0
2024,55 - 59 years,Female,South-West,PEA26C01,24220.0
2023,85 years and over,Both sexes,Dublin,PEA26C01,24171.0
2023,70 - 74 years,Male,Dublin,PEA26C01,24120.0
2024,15 - 19 years,Both sexes,Midland,PEA26C01,24115.0
2024,55 - 59 years,Female,Mid-East,PEA26C01,24099.0
2024,55 - 59 years,Male,Mid-East,PEA26C01,23969.0
2023,15 - 19 years,Female,South-West,PEA26C01,23931.0
2023,55 - 59 years,Female,South-West,PEA26C01,23836.0
2024,65 - 69 years,Both sexes,South-East,PEA26C01,23815.0
2023,0 - 4 years,Male,Mid-East,PEA26C01,23693.0
2023,35 - 39 years,Both sexes,Midland,PEA26C01,23691.0
2023,45 - 49 years,Both sexes,Midland,PEA26C01,23580.0
2023,30 - 34 years,Female,South-West,PEA26C01,23569.0
2024,70 - 74 years,Both sexes,Mid-West,PEA26C01,23546.0
2023,25 - 29 years,Both sexes,South-East,PEA26C01,23540.0
2023,55 - 59 years,Female,Mid-East,PEA26C01,23536.0
2024,30 - 34 years,Female,South-West,PEA26C01,23505.0
2024,55 - 59 years,Male,South-West,PEA26C01,23498.0
2024,20 - 24 years,Female,Mid-East,PEA26C01,23431.0
2023,55 - 59 years,Male,Mid-East,PEA26C01,23351.0
2023,65 - 69 years,Both sexes,South-East,PEA26C01,23349.0
2024,0 - 4 years,Male,Mid-East,PEA26C01,23320.0
2023,55 - 59 years,Male,South-West,PEA26C01,23307.0
2023,5 - 9 years,Female,South-West,PEA26C01,23295.0
2024,20 - 24 years,Male,South-West,PEA26C01,23227.0
2023,20 - 24 years,Both sexes,Border,PEA26C01,23191.0
2023,30 - 34 years,Female,Mid-East,PEA26C01,23094.0
2024,5 - 9 years,Female,South-West,PEA26C01,23087.0
2024,30 - 34 years,Both sexes,Border,PEA26C01,23079.0
2024,35 - 39 years,Both sexes,Midland,PEA26C01,23075.0
2023,30 - 34 years,Both sexes,Border,PEA26C01,23041.0
2023,70 - 74 years,Both sexes,Mid-West,PEA26C01,23035.0
2023,15 - 19 years,Both sexes,Midland,PEA26C01,22926.0
2024,65 - 69 years,Both sexes,Border,PEA26C01,22896.0
2024,20 - 24 years,Female,South-West,PEA26C01,22831.0
2023,5 - 9 years,Both sexes,Midland,PEA26C01,22703.0
2024,50 - 54 years,Both sexes,Midland,PEA26C01,22651.0
2024,70 - 74 years,Both sexes,West,PEA26C01,22511.0
2023,20 - 24 years,Female,Mid-East,PEA26C01,22481.0
2024,60 - 64 years,Female,South-West,PEA26C01,22460.0
2023,20 - 24 years,Male,South-West,PEA26C01,22401.0
2024,75 - 79 years,Female,Dublin,PEA26C01,22372.0
2024,75 - 79 years,Both sexes,Mid-East,PEA26C01,22356.0
2023,0 - 4 years,Female,Mid-East,PEA26C01,22353.0
2023,65 - 69 years,Both sexes,Border,PEA26C01,22313.0
2024,30 - 34 years,Male,South-West,PEA26C01,22273.0
2023,30 - 34 years,Male,South-West,PEA26C01,22157.0
2023,70 - 74 years,Both sexes,West,PEA26C01,22093.0
2024,25 - 29 years,Male,South-West,PEA26C01,22080.0
2024,0 - 4 years,Female,Mid-East,PEA26C01,22042.0
2024,60 - 64 years,Male,South-West,PEA26C01,21954.0
2024,5 - 9 years,Both sexes,Midland,PEA26C01,21832.0
2023,50 - 54 years,Both sexes,Midland,PEA26C01,21775.0
2024,25 - 29 years,Both sexes,Border,PEA26C01,21701.0
2024,30 - 34 years,Female,Mid-East,PEA26C01,21699.0
2023,20 - 24 years,Female,South-West,PEA26C01,21669.0
2023,60 - 64 years,Female,South-West,PEA26C01,21577.0
2024,25 - 29 years,Female,South-West,PEA26C01,21573.0
2023,75 - 79 years,Female,Dublin,PEA26C01,21540.0
2024,40 - 44 years,Female,Mid-West,PEA26C01,21410.0
2023,75 - 79 years,Both sexes,Mid-East,PEA26C01,21381.0
2023,30 - 34 years,Male,Mid-East,PEA26C01,21353.0
2023,60 - 64 years,Male,South-West,PEA26C01,21289.0
2023,25 - 29 years,Male,South-West,PEA26C01,21118.0
2023,25 - 29 years,Female,South-West,PEA26C01,20989.0
2023,0 - 4 years,Male,South-West,PEA26C01,20868.0
2024,60 - 64 years,Female,Mid-East,PEA26C01,20710.0
2023,40 - 44 years,Female,Mid-West,PEA26C01,20708.0
2024,40 - 44 years,Female,West,PEA26C01,20679.0
2024,25 - 29 years,Male,Mid-East,PEA26C01,20676.0
2024,70 - 74 years,Both sexes,South-East,PEA26C01,20663.0
2024,30 - 34 years,Male,Mid-East,PEA26C01,20562.0
2023,25 - 29 years,Both sexes,Border,PEA26C01,20491.0
2024,55 - 59 years,Both sexes,Midland,PEA26C01,20367.0
2023,40 - 44 years,Female,West,PEA26C01,20307.0
2024,60 - 64 years,Male,Mid-East,PEA26C01,20224.0
2023,0 - 4 years,Female,South-West,PEA26C01,20208.0
2024,20 - 24 years,Both sexes,Midland,PEA26C01,20021.0
2023,70 - 74 years,Both sexes,South-East,PEA26C01,20002.0
2024,0 - 4 years,Male,South-West,PEA26C01,19988.0
2023,60 - 64 years,Female,Mid-East,PEA26C01,19885.0
2024,70 - 74 years,Both sexes,Border,PEA26C01,19790.0
2023,55 - 59 years,Both sexes,Midland,PEA26C01,19726.0
2024,25 - 29 years,Female,Mid-East,PEA26C01,19686.0
2023,25 - 29 years,Male,Mid-East,PEA26C01,19650.0
2023,60 - 64 years,Male,Mid-East,PEA26C01,19588.0
2024,0 - 4 years,Female,South-West,PEA26C01,19518.0
2023,70 - 74 years,Both sexes,Border,PEA26C01,19302.0
2024,65 - 69 years,Female,South-West,PEA26C01,19277.0
2023,25 - 29 years,Female,Mid-East,PEA26C01,19126.0
2024,40 - 44 years,Male,Mid-West,PEA26C01,19123.0
2024,45 - 49 years,Female,Mid-West,PEA26C01,19120.0
2023,40 - 44 years,Male,Mid-West,PEA26C01,19067.0
2024,65 - 69 years,Male,South-West,PEA26C01,18994.0
2023,10 - 14 years,Male,Mid-West,PEA26C01,18960.0
2023,30 - 34 years,Both sexes,Midland,PEA26C01,18922.0
2024,10 - 14 years,Male,Mid-West,PEA26C01,18914.0
2024,30 - 34 years,Both sexes,Midland,PEA26C01,18884.0
2023,40 - 44 years,Male,West,PEA26C01,18835.0
2024,75 - 79 years,Male,Dublin,PEA26C01,18832.0
2023,20 - 24 years,Both sexes,Midland,PEA26C01,18751.0
2023,65 - 69 years,Female,South-West,PEA26C01,18722.0
2023,45 - 49 years,Female,Mid-West,PEA26C01,18707.0
2024,35 - 39 years,Female,Mid-West,PEA26C01,18669.0
2023,40 - 44 years,Female,South-East,PEA26C01,18637.0
2024,15 - 19 years,Male,Mid-West,PEA26C01,18591.0
2023,45 - 49 years,Male,Mid-West,PEA26C01,18591.0
2024,40 - 44 years,Male,West,PEA26C01,18570.0
2023,0 - 4 years,Both sexes,Midland,PEA26C01,18554.0
2024,45 - 49 years,Female,West,PEA26C01,18533.0
2023,35 - 39 years,Female,Mid-West,PEA26C01,18506.0
2024,60 - 64 years,Both sexes,Midland,PEA26C01,18490.0
2024,45 - 49 years,Male,Mid-West,PEA26C01,18447.0
2024,40 - 44 years,Female,South-East,PEA26C01,18444.0
2023,65 - 69 years,Male,South-West,PEA26C01,18437.0
2024,75 - 79 years,Both sexes,Mid-West,PEA26C01,18400.0
2024,15 - 19 years,Male,South-East,PEA26C01,18305.0
2023,45 - 49 years,Female,West,PEA26C01,18219.0
2024,50 - 54 years,Female,Mid-West,PEA26C01,18217.0
2024,10 - 14 years,Male,West,PEA26C01,18152.0
2023,75 - 79 years,Male,Dublin,PEA26C01,18150.0
2023,10 - 14 years,Male,West,PEA26C01,18108.0
2023,35 - 39 years,Female,West,PEA26C01,18105.0
2024,0 - 4 years,Both sexes,Midland,PEA26C01,18054.0
2024,10 - 14 years,Female,Mid-West,PEA26C01,17998.0
2024,50 - 54 years,Male,Mid-West,PEA26C01,17992.0
2024,45 - 49 years,Male,West,PEA26C01,17956.0
2023,10 - 14 years,Female,Mid-West,PEA26C01,17955.0
2024,25 - 29 years,Both sexes,Midland,PEA26C01,17881.0
2024,35 - 39 years,Female,West,PEA26C01,17878.0
2023,45 - 49 years,Male,West,PEA26C01,17728.0
2023,10 - 14 years,Male,South-East,PEA26C01,17691.0
2023,75 - 79 years,Both sexes,Mid-West,PEA26C01,17688.0
2024,45 - 49 years,Female,South-East,PEA26C01,17661.0
2024,15 - 19 years,Male,West,PEA26C01,17619.0
2024,10 - 14 years,Male,Border,PEA26C01,17596.0
2024,15 - 19 years,Female,Mid-West,PEA26C01,17553.0
2023,60 - 64 years,Both sexes,Midland,PEA26C01,17539.0
2023,50 - 54 years,Male,Mid-West,PEA26C01,17538.0
2023,45 - 49 years,Female,South-East,PEA26C01,17502.0
2024,10 - 14 years,Male,South-East,PEA26C01,17428.0
2023,15 - 19 years,Male,Mid-West,PEA26C01,17410.0
2024,75 - 79 years,Both sexes,West,PEA26C01,17407.0
2024,65 - 69 years,Female,Mid-East,PEA26C01,17379.0
2023,50 - 54 years,Female,Mid-West,PEA26C01,17341.0
2023,10 - 14 years,Female,West,PEA26C01,17196.0
2023,40 - 44 years,Male,South-East,PEA26C01,17182.0
2024,10 - 14 years,Female,West,PEA26C01,17090.0
2024,50 - 54 years,Female,West,PEA26C01,17007.0
2023,25 - 29 years,Both sexes,Midland,PEA26C01,16954.0
2023,10 - 14 years,Female,South-East,PEA26C01,16945.0
2023,10 - 14 years,Male,Border,PEA26C01,16938.0
2023,65 - 69 years,Female,Mid-East,PEA26C01,16934.0
2024,50 - 54 years,Male,West,PEA26C01,16934.0
2023,15 - 19 years,Male,South-East,PEA26C01,16932.0
2024,40 - 44 years,Female,Border,PEA26C01,16928.0
2024,40 - 44 years,Male,South-East,PEA26C01,16896.0
2023,15 - 19 years,Female,Mid-West,PEA26C01,16890.0
2024,10 - 14 years,Female,South-East,PEA26C01,16868.0
2023,15 - 19 years,Male,West,PEA26C01,16810.0
2023,50 - 54 years,Female,West,PEA26C01,16807.0
2024,50 - 54 years,Female,South-East,PEA26C01,16754.0
2024,65 - 69 years,Male,Mid-East,PEA26C01,16718.0
2023,75 - 79 years,Both sexes,West,PEA26C01,16718.0
2023,35 - 39 years,Female,South-East,PEA26C01,16713.0
2024,70 - 74 years,Female,South-West,PEA26C01,16706.0
2023,5 - 9 years,Male,West,PEA26C01,16658.0
2024,45 - 49 years,Male,South-East,PEA26C01,16637.0
2023,35 - 39 years,Male,Mid-West,PEA26C01,16625.0
2023,40 - 44 years,Female,Border,PEA26C01,16615.0
2023,50 - 54 years,Male,West,PEA26C01,16602.0
2024,35 - 39 years,Male,Mid-West,PEA26C01,16551.0
2024,55 - 59 years,Male,Mid-West,PEA26C01,16531.0
2023,5 - 9 years,Male,Mid-West,PEA26C01,16521.0
2024,55 - 59 years,Female,Mid-West,PEA26C01,16511.0
2024,5 - 9 years,Male,Mid-West,PEA26C01,16505.0
2024,10 - 14 years,Female,Border,PEA26C01,16498.0
2023,45 - 49 years,Male,South-East,PEA26C01,16443.0
2023,10 - 14 years,Female,Border,PEA26C01,16402.0
2023,65 - 69 years,Male,Mid-East,PEA26C01,16394.0
2023,50 - 54 years,Female,South-East,PEA26C01,16365.0
2023,55 - 59 years,Female,Mid-West,PEA26C01,16327.0
2024,80 - 84 years,Both sexes,South-West,PEA26C01,16324.0
2023,55 - 59 years,Male,Mid-West,PEA26C01,16275.0
2024,20 - 24 years,Male,Mid-West,PEA26C01,16240.0
2023,70 - 74 years,Female,South-West,PEA26C01,16190.0
2024,50 - 54 years,Male,South-East,PEA26C01,16190.0
2024,70 - 74 years,Male,South-West,PEA26C01,16174.0
2024,35 - 39 years,Female,South-East,PEA26C01,16158.0
2023,35 - 39 years,Male,West,PEA26C01,16148.0
2024,5 - 9 years,Male,West,PEA26C01,16135.0
2024,75 - 79 years,Both sexes,South-East,PEA26C01,16121.0
2024,5 - 9 years,Female,Mid-West,PEA26C01,16082.0
2024,15 - 19 years,Male,Border,PEA26C01,16064.0
2024,85 years and over,Female,Dublin,PEA26C01,16025.0
2024,20 - 24 years,Female,Mid-West,PEA26C01,16008.0
2024,15 - 19 years,Female,South-East,PEA26C01,15951.0
2023,5 - 9 years,Female,West,PEA26C01,15914.0
2024,45 - 49 years,Female,Border,PEA26C01,15888.0
2023,50 - 54 years,Male,South-East,PEA26C01,15887.0
2023,70 - 74 years,Male,South-West,PEA26C01,15876.0
2024,30 - 34 years,Female,Mid-West,PEA26C01,15853.0
2024,35 - 39 years,Male,West,PEA26C01,15736.0
2023,5 - 9 years,Female,Mid-West,PEA26C01,15672.0
2023,75 - 79 years,Both sexes,South-East,PEA26C01,15636.0
2024,75 - 79 years,Both sexes,Border,PEA26C01,15598.0
2024,40 - 44 years,Male,Border,PEA26C01,15585.0
2024,20 - 24 years,Male,West,PEA26C01,15579.0
2024,55 - 59 years,Female,South-East,PEA26C01,15566.0
2024,65 - 69 years,Both sexes,Midland,PEA26C01,15564.0
2024,55 - 59 years,Male,West,PEA26C01,15562.0
2024,55 - 59 years,Female,West,PEA26C01,15557.0
2023,55 - 59 years,Male,West,PEA26C01,15557.0
2024,20 - 24 years,Male,South-East,PEA26C01,15553.0
2023,30 - 34 years,Female,Mid-West,PEA26C01,15542.0
2024,5 - 9 years,Female,West,PEA26C01,15535.0
2024,80 - 84 years,Female,Dublin,PEA26C01,15521.0
2023,85 years and over,Female,Dublin,PEA26C01,15509.0
2024,60 - 64 years,Female,Mid-West,PEA26C01,15450.0
2023,40 - 44 years,Male,Border,PEA26C01,15426.0
2024,5 - 9 years,Male,Border,PEA26C01,15410.0
2023,45 - 49 years,Female,Border,PEA26C01,15401.0
2023,15 - 19 years,Male,Border,PEA26C01,15393.0
2023,15 - 19 years,Female,South-East,PEA26C01,15386.0
2023,55 - 59 years,Female,West,PEA26C01,15381.0
2023,15 - 19 years,Female,West,PEA26C01,15357.0
2023,55 - 59 years,Female,South-East,PEA26C01,15353.0
2024,15 - 19 years,Female,West,PEA26C01,15317.0
2023,80 - 84 years,Both sexes,South-West,PEA26C01,15315.0
2023,5 - 9 years,Male,South-East,PEA26C01,15305.0
2024,25 - 29 years,Female,Mid-West,PEA26C01,15294.0
2023,20 - 24 years,Female,Mid-West,PEA26C01,15284.0
2024,45 - 49 years,Male,Border,PEA26C01,15217.0
2023,20 - 24 years,Male,Mid-West,PEA26C01,15180.0
2023,65 - 69 years,Both sexes,Midland,PEA26C01,15157.0
2024,60 - 64 years,Male,Mid-West,PEA26C01,15151.0
2023,45 - 49 years,Male,Border,PEA26C01,15114.0
2024,5 - 9 years,Male,South-East,PEA26C01,15038.0
2023,30 - 34 years,Female,West,PEA26C01,15032.0
2024,25 - 29 years,Male,Mid-West,PEA26C01,15025.0
2023,80 - 84 years,Female,Dublin,PEA26C01,15023.0
2024,50 - 54 years,Female,Border,PEA26C01,14974.0
2023,35 - 39 years,Female,Border,PEA26C01,14968.0
2023,20 - 24 years,Male,West,PEA26C01,14903.0
2023,60 - 64 years,Male,Mid-West,PEA26C01,14902.0
2024,30 - 34 years,Female,West,PEA26C01,14892.0
2023,75 - 79 years,Both sexes,Border,PEA26C01,14874.0
2024,35 - 39 years,Female,Border,PEA26C01,14831.0
2023,60 - 64 years,Female,Mid-West,PEA26C01,14829.0
2024,5 - 9 years,Female,Border,PEA26C01,14825.0
2024,50 - 54 years,Male,Border,PEA26C01,14819.0
2024,55 - 59 years,Male,South-East,PEA26C01,14810.0
2023,5 - 9 years,Male,Border,PEA26C01,14690.0
2023,50 - 54 years,Male,Border,PEA26C01,14690.0
2023,35 - 39 years,Male,South-East,PEA26C01,14660.0
2023,55 - 59 years,Male,South-East,PEA26C01,14626.0
2024,70 - 74 years,Female,Mid-East,PEA26C01,14595.0
2023,5 - 9 years,Female,South-East,PEA26C01,14581.0
2024,60 - 64 years,Female,South-East,PEA26C01,14573.0
2024,60 - 64 years,Female,West,PEA26C01,14568.0
2023,0 - 4 years,Male,Mid-West,PEA26C01,14557.0
2024,5 - 9 years,Female,South-East,PEA26C01,14538.0
2024,15 - 19 years,Female,Border,PEA26C01,14497.0
2024,20 - 24 years,Female,West,PEA26C01,14486.0
2023,50 - 54 years,Female,Border,PEA26C01,14451.0
2024,60 - 64 years,Male,West,PEA26C01,14440.0
2024,30 - 34 years,Male,Mid-West,PEA26C01,14437.0
2023,30 - 34 years,Male,Mid-West,PEA26C01,14413.0
2023,60 - 64 years,Female,West,PEA26C01,14344.0
2023,20 - 24 years,Female,West,PEA26C01,14316.0
2023,5 - 9 years,Female,Border,PEA26C01,14311.0
2023,70 - 74 years,Female,Mid-East,PEA26C01,14206.0
2023,60 - 64 years,Male,West,PEA26C01,14204.0
2024,0 - 4 years,Male,Mid-West,PEA26C01,14166.0
2023,25 - 29 years,Female,Mid-West,PEA26C01,14162.0
2023,0 - 4 years,Female,Mid-West,PEA26C01,14159.0
2024,35 - 39 years,Male,South-East,PEA26C01,14155.0
2024,40 - 44 years,Female,Midland,PEA26C01,14138.0
2023,60 - 64 years,Female,South-East,PEA26C01,14119.0
2023,20 - 24 years,Male,South-East,PEA26C01,14058.0
2024,55 - 59 years,Female,Border,PEA26C01,14020.0
2023,0 - 4 years,Male,West,PEA26C01,14015.0
2024,85 years and over,Both sexes,South-West,PEA26C01,13978.0
2023,25 - 29 years,Male,Mid-West,PEA26C01,13957.0
2024,0 - 4 years,Male,West,PEA26C01,13938.0
2023,15 - 19 years,Female,Border,PEA26C01,13885.0
2024,30 - 34 years,Male,West,PEA26C01,13878.0
2024,55 - 59 years,Male,Border,PEA26C01,13840.0
2023,30 - 34 years,Male,West,PEA26C01,13830.0
2024,70 - 74 years,Male,Mid-East,PEA26C01,13822.0
2023,30 - 34 years,Female,South-East,PEA26C01,13777.0
2024,0 - 4 years,Female,Mid-West,PEA26C01,13765.0
2024,0 - 4 years,Female,West,PEA26C01,13750.0
2024,60 - 64 years,Male,South-East,PEA26C01,13709.0
2023,0 - 4 years,Female,West,PEA26C01,13668.0
2024,65 - 69 years,Male,Mid-West,PEA26C01,13660.0
2023,55 - 59 years,Female,Border,PEA26C01,13593.0
2024,25 - 29 years,Male,West,PEA26C01,13593.0
2024,65 - 69 years,Female,Mid-West,PEA26C01,13571.0
2023,70 - 74 years,Male,Mid-East,PEA26C01,13558.0
2024,20 - 24 years,Female,South-East,PEA26C01,13536.0
2023,40 - 44 years,Female,Midland,PEA26C01,13505.0
2023,55 - 59 years,Male,Border,PEA26C01,13487.0
2023,35 - 39 years,Male,Border,PEA26C01,13448.0
2023,65 - 69 years,Male,Mid-West,PEA26C01,13445.0
2024,65 - 69 years,Female,West,PEA26C01,13414.0
2024,25 - 29 years,Female,West,PEA26C01,13413.0
2024,75 - 79 years,Female,South-West,PEA26C01,13407.0
2023,25 - 29 years,Male,West,PEA26C01,13370.0
2023,85 years and over,Both sexes,South-West,PEA26C01,13363.0
2023,60 - 64 years,Male,South-East,PEA26C01,13348.0
2024,80 - 84 years,Both sexes,Mid-East,PEA26C01,13336.0
2023,0 - 4 years,Female,Border,PEA26C01,13313.0
2024,35 - 39 years,Male,Border,PEA26C01,13289.0
2023,0 - 4 years,Male,Border,PEA26C01,13270.0
2024,30 - 34 years,Female,South-East,PEA26C01,13223.0
2024,60 - 64 years,Female,Border,PEA26C01,13220.0
2023,65 - 69 years,Female,Mid-West,PEA26C01,13175.0
2024,0 - 4 years,Male,Border,PEA26C01,13116.0
2023,65 - 69 years,Female,West,PEA26C01,13111.0
2023,0 - 4 years,Male,South-East,PEA26C01,13092.0
2024,65 - 69 years,Male,West,PEA26C01,13092.0
2024,70 - 74 years,Both sexes,Midland,PEA26C01,13084.0
2023,25 - 29 years,Female,West,PEA26C01,12999.0
2023,20 - 24 years,Female,South-East,PEA26C01,12929.0
2023,10 - 14 years,Male,Midland,PEA26C01,12886.0
2024,10 - 14 years,Male,Midland,PEA26C01,12874.0
2023,0 - 4 years,Female,South-East,PEA26C01,12859.0
2024,60 - 64 years,Male,Border,PEA26C01,12845.0
2023,75 - 79 years,Female,South-West,PEA26C01,12814.0
2023,40 - 44 years,Male,Midland,PEA26C01,12804.0
2023,65 - 69 years,Male,West,PEA26C01,12798.0
2024,40 - 44 years,Male,Midland,PEA26C01,12793.0
2024,0 - 4 years,Female,Border,PEA26C01,12787.0
2024,75 - 79 years,Male,South-West,PEA26C01,12738.0
2023,30 - 34 years,Male,South-East,PEA26C01,12726.0
2024,20 - 24 years,Male,Border,PEA26C01,12697.0
2023,70 - 74 years,Both sexes,Midland,PEA26C01,12662.0
2023,60 - 64 years,Female,Border,PEA26C01,12626.0
2023,60 - 64 years,Male,Border,PEA26C01,12557.0
2024,0 - 4 years,Male,South-East,PEA26C01,12543.0
2024,30 - 34 years,Male,South-East,PEA26C01,12508.0
2023,35 - 39 years,Female,Midland,PEA26C01,12461.0
2023,80 - 84 years,Both sexes,Mid-East,PEA26C01,12415.0
2024,0 - 4 years,Female,South-East,PEA26C01,12375.0
2024,15 - 19 years,Male,Midland,PEA26C01,12370.0
2024,25 - 29 years,Male,South-East,PEA26C01,12365.0
2024,45 - 49 years,Female,Midland,PEA26C01,12234.0
2024,35 - 39 years,Female,Midland,PEA26C01,12233.0
2024,10 - 14 years,Female,Midland,PEA26C01,12143.0
2023,10 - 14 years,Female,Midland,PEA26C01,12140.0
2023,75 - 79 years,Male,South-West,PEA26C01,12136.0
2023,20 - 24 years,Male,Border,PEA26C01,12103.0
2024,45 - 49 years,Male,Midland,PEA26C01,12048.0
2023,30 - 34 years,Female,Border,PEA26C01,11967.0
2024,65 - 69 years,Female,South-East,PEA26C01,11962.0
2024,25 - 29 years,Female,South-East,PEA26C01,11933.0
2023,45 - 49 years,Female,Midland,PEA26C01,11897.0
2024,30 - 34 years,Female,Border,PEA26C01,11895.0
2024,65 - 69 years,Male,South-East,PEA26C01,11853.0
2024,80 - 84 years,Male,Dublin,PEA26C01,11848.0
2023,25 - 29 years,Female,South-East,PEA26C01,11831.0
2024,70 - 74 years,Female,Mid-West,PEA26C01,11793.0
2023,65 - 69 years,Male,South-East,PEA26C01,11753.0
2024,70 - 74 years,Male,Mid-West,PEA26C01,11753.0
2024,15 - 19 years,Female,Midland,PEA26C01,11745.0
2023,25 - 29 years,Male,South-East,PEA26C01,11709.0
2023,45 - 49 years,Male,Midland,PEA26C01,11683.0
2023,15 - 19 years,Male,Midland,PEA26C01,11647.0
2023,5 - 9 years,Male,Midland,PEA26C01,11614.0
2023,65 - 69 years,Female,South-East,PEA26C01,11596.0
2023,70 - 74 years,Female,Mid-West,PEA26C01,11579.0
2024,75 - 79 years,Female,Mid-East,PEA26C01,11578.0
2024,20 - 24 years,Female,Border,PEA26C01,11540.0
2024,65 - 69 years,Female,Border,PEA26C01,11507.0
2023,70 - 74 years,Male,Mid-West,PEA26C01,11456.0
2024,70 - 74 years,Female,West,PEA26C01,11432.0
2024,65 - 69 years,Male,Border,PEA26C01,11389.0
2024,80 - 84 years,Both sexes,Mid-West,PEA26C01,11372.0
2024,50 - 54 years,Male,Midland,PEA26C01,11355.0
2024,50 - 54 years,Female,Midland,PEA26C01,11296.0
2023,15 - 19 years,Female,Midland,PEA26C01,11279.0
2023,35 - 39 years,Male,Midland,PEA26C01,11230.0
2023,80 - 84 years,Male,Dublin,PEA26C01,11214.0
2024,5 - 9 years,Male,Midland,PEA26C01,11206.0
2023,65 - 69 years,Female,Border,PEA26C01,11190.0
2024,30 - 34 years,Male,Border,PEA26C01,11184.0
2023,65 - 69 years,Male,Border,PEA26C01,11123.0
2024,25 - 29 years,Male,Border,PEA26C01,11122.0
2023,70 - 74 years,Female,West,PEA26C01,11107.0
2023,5 - 9 years,Female,Midland,PEA26C01,11089.0
2023,20 - 24 years,Female,Border,PEA26C01,11088.0
2024,70 - 74 years,Male,West,PEA26C01,11079.0
2023,75 - 79 years,Female,Mid-East,PEA26C01,11075.0
2023,30 - 34 years,Male,Border,PEA26C01,11074.0
2023,50 - 54 years,Male,Midland,PEA26C01,11013.0
2023,70 - 74 years,Male,West,PEA26C01,10986.0
2024,80 - 84 years,Both sexes,West,PEA26C01,10979.0
2023,80 - 84 years,Both sexes,Mid-West,PEA26C01,10854.0
2024,35 - 39 years,Male,Midland,PEA26C01,10842.0
2024,75 - 79 years,Male,Mid-East,PEA26C01,10778.0
2023,50 - 54 years,Female,Midland,PEA26C01,10762.0
2023,80 - 84 years,Both sexes,West,PEA26C01,10635.0
2024,5 - 9 years,Female,Midland,PEA26C01,10626.0
2024,25 - 29 years,Female,Border,PEA26C01,10579.0
2024,70 - 74 years,Female,South-East,PEA26C01,10490.0
2023,25 - 29 years,Male,Border,PEA26C01,10402.0
2024,80 - 84 years,Both sexes,South-East,PEA26C01,10322.0
2023,75 - 79 years,Male,Mid-East,PEA26C01,10306.0
2024,85 years and over,Both sexes,Mid-East,PEA26C01,10279.0
2024,55 - 59 years,Male,Midland,PEA26C01,10229.0
