year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,15 - 19 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,13582.0
2024,25 - 29 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,13567.0
2023,40 - 44 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,13077.0
2024,30 - 34 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,13025.0
2023,30 - 34 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,12940.0
2023,30 - 34 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12938.0
2024,30 - 34 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12835.0
2024,10 - 14 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,12585.0
2023,15 - 19 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,12481.0
2023,10 - 14 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,12433.0
2024,55 - 59 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12396.0
2024,All ages,Female,Low Human Development Index (HDI),PEA27C01,12365.0
2023,45 - 49 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12179.0
2024,50 - 54 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12092.0
2024,45 - 49 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12074.0
2023,50 - 54 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12070.0
2023,55 - 59 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,12019.0
2024,All ages,Male,Low Human Development Index (HDI),PEA27C01,11897.0
2024,50 - 54 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,11833.0
2023,50 - 54 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,11452.0
2023,All ages,Female,Low Human Development Index (HDI),PEA27C01,11445.0
2023,All ages,Male,Low Human Development Index (HDI),PEA27C01,11358.0
2024,65 - 69 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,10959.0
2024,5 - 9 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,10600.0
2024,55 - 59 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,10570.0
2023,5 - 9 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,10496.0
2024,60 - 64 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,10385.0
2023,65 - 69 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,10184.0
2023,55 - 59 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,10167.0
2024,50 - 54 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,10093.0
2024,45 - 49 years,Both sexes,High Human Development Index (HDI),PEA27C01,9967.0
2023,25 - 29 years,Both sexes,High Human Development Index (HDI),PEA27C01,9831.0
2023,60 - 64 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,9676.0
2024,25 - 29 years,Both sexes,High Human Development Index (HDI),PEA27C01,9530.0
2024,20 - 24 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,9465.0
2023,25 - 29 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,9398.0
2023,50 - 54 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,9383.0
2024,45 - 49 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,9052.0
2024,25 - 29 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,8911.0
2023,20 - 24 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,8891.0
2024,Under 5 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,8879.0
2024,55 - 59 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,8854.0
2023,25 - 29 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,8791.0
2023,Under 5 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,8716.0
