year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,50 - 54 years,Male,Medium Human Development Index (HDI),PEA27C01,2134.0
2024,15 - 19 years,Male,Very High Human Development Index (HDI),PEA27C01,2129.0
2023,45 - 49 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2114.0
2023,15 - 19 years,Male,Very High Human Development Index (HDI),PEA27C01,2109.0
2023,20 - 24 years,Male,High Human Development Index (HDI),PEA27C01,2099.0
2023,15 - 19 years,Female,High Human Development Index (HDI),PEA27C01,2092.0
2024,15 - 19 years,Male,High Human Development Index (HDI),PEA27C01,2037.0
2024,35 - 39 years,Female,Low Human Development Index (HDI),PEA27C01,2031.0
2023,85 years and over,Female,Human Development Index (HDI) - All ratings,PEA27C01,2017.0
2024,15 - 19 years,Female,Medium Human Development Index (HDI),PEA27C01,2005.0
2023,5 - 9 years,Male,Very High Human Development Index (HDI),PEA27C01,2004.0
2024,50 - 54 years,Female,Medium Human Development Index (HDI),PEA27C01,1984.0
2023,35 - 39 years,Female,Low Human Development Index (HDI),PEA27C01,1978.0
2024,80 - 84 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,1976.0
2023,85 years and over,Male,Human Development Index (HDI) - All ratings,PEA27C01,1976.0
2023,50 - 54 years,Female,High Human Development Index (HDI),PEA27C01,1972.0
2024,40 - 44 years,Female,Low Human Development Index (HDI),PEA27C01,1956.0
2023,50 - 54 years,Male,Medium Human Development Index (HDI),PEA27C01,1932.0
2024,10 - 14 years,Male,High Human Development Index (HDI),PEA27C01,1932.0
2024,35 - 39 years,Male,Low Human Development Index (HDI),PEA27C01,1924.0
2024,5 - 9 years,Male,Very High Human Development Index (HDI),PEA27C01,1899.0
2023,20 - 24 years,Male,Medium Human Development Index (HDI),PEA27C01,1891.0
2023,10 - 14 years,Male,High Human Development Index (HDI),PEA27C01,1870.0
2023,5 - 9 years,Female,Very High Human Development Index (HDI),PEA27C01,1869.0
2024,5 - 9 years,Female,Very High Human Development Index (HDI),PEA27C01,1869.0
2024,10 - 14 years,Female,High Human Development Index (HDI),PEA27C01,1856.0
2024,40 - 44 years,Male,Low Human Development Index (HDI),PEA27C01,1853.0
2024,80 - 84 years,Male,Very High Human Development Index (HDI),PEA27C01,1825.0
2023,10 - 14 years,Female,High Human Development Index (HDI),PEA27C01,1824.0
2024,30 - 34 years,Female,Low Human Development Index (HDI),PEA27C01,1815.0
2024,85 years and over,Male,Very High Human Development Index (HDI),PEA27C01,1798.0
2023,35 - 39 years,Male,Low Human Development Index (HDI),PEA27C01,1797.0
2024,15 - 19 years,Male,Medium Human Development Index (HDI),PEA27C01,1791.0
2023,30 - 34 years,Female,Low Human Development Index (HDI),PEA27C01,1790.0
2023,15 - 19 years,Female,Medium Human Development Index (HDI),PEA27C01,1786.0
2023,80 - 84 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,1773.0
2023,40 - 44 years,Female,Low Human Development Index (HDI),PEA27C01,1771.0
2023,15 - 19 years,Male,High Human Development Index (HDI),PEA27C01,1752.0
2024,85 years and over,Female,Very High Human Development Index (HDI),PEA27C01,1750.0
2023,30 - 34 years,Male,Low Human Development Index (HDI),PEA27C01,1747.0
2024,55 - 59 years,Male,High Human Development Index (HDI),PEA27C01,1731.0
2023,80 - 84 years,Male,Very High Human Development Index (HDI),PEA27C01,1729.0
2024,30 - 34 years,Male,Low Human Development Index (HDI),PEA27C01,1713.0
2023,40 - 44 years,Male,Low Human Development Index (HDI),PEA27C01,1709.0
2023,10 - 14 years,Male,Medium Human Development Index (HDI),PEA27C01,1696.0
2023,50 - 54 years,Female,Medium Human Development Index (HDI),PEA27C01,1664.0
2024,10 - 14 years,Male,Medium Human Development Index (HDI),PEA27C01,1656.0
2024,5 - 9 years,Male,High Human Development Index (HDI),PEA27C01,1635.0
2024,65 - 69 years,Both sexes,High Human Development Index (HDI),PEA27C01,1626.0
2024,80 - 84 years,Female,Very High Human Development Index (HDI),PEA27C01,1625.0
2024,10 - 14 years,Female,Medium Human Development Index (HDI),PEA27C01,1623.0
2023,15 - 19 years,Male,Medium Human Development Index (HDI),PEA27C01,1600.0
2023,55 - 59 years,Male,High Human Development Index (HDI),PEA27C01,1599.0
2023,85 years and over,Female,Very High Human Development Index (HDI),PEA27C01,1591.0
2024,5 - 9 years,Female,High Human Development Index (HDI),PEA27C01,1585.0
2024,55 - 59 years,Male,Medium Human Development Index (HDI),PEA27C01,1578.0
2023,10 - 14 years,Female,Medium Human Development Index (HDI),PEA27C01,1568.0
2023,5 - 9 years,Male,High Human Development Index (HDI),PEA27C01,1559.0
2024,55 - 59 years,Female,High Human Development Index (HDI),PEA27C01,1558.0
2023,85 years and over,Male,Very High Human Development Index (HDI),PEA27C01,1542.0
2024,Under 5 years,Female,Very High Human Development Index (HDI),PEA27C01,1541.0
2023,5 - 9 years,Female,High Human Development Index (HDI),PEA27C01,1519.0
2023,55 - 59 years,Male,Medium Human Development Index (HDI),PEA27C01,1508.0
2023,Under 5 years,Female,Very High Human Development Index (HDI),PEA27C01,1498.0
2023,80 - 84 years,Female,Very High Human Development Index (HDI),PEA27C01,1476.0
2023,5 - 9 years,Male,Medium Human Development Index (HDI),PEA27C01,1472.0
2023,65 - 69 years,Both sexes,High Human Development Index (HDI),PEA27C01,1457.0
2024,65 - 69 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,1448.0
2023,Under 5 years,Male,Very High Human Development Index (HDI),PEA27C01,1443.0
2024,5 - 9 years,Female,Medium Human Development Index (HDI),PEA27C01,1440.0
2024,5 - 9 years,Male,Medium Human Development Index (HDI),PEA27C01,1422.0
2024,60 - 64 years,Male,High Human Development Index (HDI),PEA27C01,1409.0
2024,Under 5 years,Female,High Human Development Index (HDI),PEA27C01,1409.0
2024,55 - 59 years,Female,Medium Human Development Index (HDI),PEA27C01,1405.0
2024,Under 5 years,Male,High Human Development Index (HDI),PEA27C01,1383.0
2023,55 - 59 years,Female,High Human Development Index (HDI),PEA27C01,1365.0
2023,5 - 9 years,Female,Medium Human Development Index (HDI),PEA27C01,1351.0
2023,Under 5 years,Female,High Human Development Index (HDI),PEA27C01,1349.0
2023,Under 5 years,Male,High Human Development Index (HDI),PEA27C01,1319.0
2024,Under 5 years,Male,Very High Human Development Index (HDI),PEA27C01,1318.0
2024,20 - 24 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1307.0
2023,65 - 69 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,1291.0
2024,Under 5 years,Female,Medium Human Development Index (HDI),PEA27C01,1284.0
2024,60 - 64 years,Male,Medium Human Development Index (HDI),PEA27C01,1278.0
2024,60 - 64 years,Female,High Human Development Index (HDI),PEA27C01,1277.0
2024,Under 5 years,Male,Medium Human Development Index (HDI),PEA27C01,1255.0
2024,25 - 29 years,Female,Low Human Development Index (HDI),PEA27C01,1251.0
2024,45 - 49 years,Female,Low Human Development Index (HDI),PEA27C01,1249.0
2023,55 - 59 years,Female,Medium Human Development Index (HDI),PEA27C01,1243.0
2023,60 - 64 years,Male,High Human Development Index (HDI),PEA27C01,1240.0
2023,Under 5 years,Male,Medium Human Development Index (HDI),PEA27C01,1230.0
2023,25 - 29 years,Female,Low Human Development Index (HDI),PEA27C01,1215.0
2024,45 - 49 years,Male,Low Human Development Index (HDI),PEA27C01,1199.0
2023,20 - 24 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1186.0
2023,60 - 64 years,Male,Medium Human Development Index (HDI),PEA27C01,1179.0
2023,Under 5 years,Female,Medium Human Development Index (HDI),PEA27C01,1163.0
2024,60 - 64 years,Female,Medium Human Development Index (HDI),PEA27C01,1152.0
2023,25 - 29 years,Male,Low Human Development Index (HDI),PEA27C01,1146.0
2023,45 - 49 years,Male,Low Human Development Index (HDI),PEA27C01,1145.0
2023,60 - 64 years,Female,High Human Development Index (HDI),PEA27C01,1138.0
2024,15 - 19 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1090.0
2024,50 - 54 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1067.0
2024,25 - 29 years,Male,Low Human Development Index (HDI),PEA27C01,1045.0
2023,60 - 64 years,Female,Medium Human Development Index (HDI),PEA27C01,1025.0
2023,45 - 49 years,Female,Low Human Development Index (HDI),PEA27C01,969.0
2024,10 - 14 years,Both sexes,Low Human Development Index (HDI),PEA27C01,935.0
2023,50 - 54 years,Both sexes,Low Human Development Index (HDI),PEA27C01,935.0
2023,15 - 19 years,Both sexes,Low Human Development Index (HDI),PEA27C01,912.0
2023,10 - 14 years,Both sexes,Low Human Development Index (HDI),PEA27C01,876.0
2024,65 - 69 years,Male,High Human Development Index (HDI),PEA27C01,867.0
2024,70 - 74 years,Both sexes,High Human Development Index (HDI),PEA27C01,852.0
2023,70 - 74 years,Both sexes,High Human Development Index (HDI),PEA27C01,824.0
2023,65 - 69 years,Male,High Human Development Index (HDI),PEA27C01,800.0
2024,65 - 69 years,Male,Medium Human Development Index (HDI),PEA27C01,796.0
2024,65 - 69 years,Female,High Human Development Index (HDI),PEA27C01,759.0
2024,70 - 74 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,757.0
2023,70 - 74 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,757.0
2024,55 - 59 years,Both sexes,Low Human Development Index (HDI),PEA27C01,756.0
2023,55 - 59 years,Both sexes,Low Human Development Index (HDI),PEA27C01,752.0
2024,5 - 9 years,Both sexes,Low Human Development Index (HDI),PEA27C01,750.0
2024,20 - 24 years,Female,Low Human Development Index (HDI),PEA27C01,745.0
2023,5 - 9 years,Both sexes,Low Human Development Index (HDI),PEA27C01,722.0
2023,Under 5 years,Both sexes,Low Human Development Index (HDI),PEA27C01,714.0
2023,65 - 69 years,Male,Medium Human Development Index (HDI),PEA27C01,704.0
2024,Under 5 years,Both sexes,Low Human Development Index (HDI),PEA27C01,689.0
2023,65 - 69 years,Female,High Human Development Index (HDI),PEA27C01,657.0
2024,60 - 64 years,Both sexes,Low Human Development Index (HDI),PEA27C01,655.0
2024,65 - 69 years,Female,Medium Human Development Index (HDI),PEA27C01,652.0
2024,75 - 79 years,Both sexes,High Human Development Index (HDI),PEA27C01,647.0
2023,20 - 24 years,Female,Low Human Development Index (HDI),PEA27C01,637.0
2023,75 - 79 years,Both sexes,High Human Development Index (HDI),PEA27C01,605.0
2024,15 - 19 years,Female,Low Human Development Index (HDI),PEA27C01,595.0
2023,65 - 69 years,Female,Medium Human Development Index (HDI),PEA27C01,587.0
2023,60 - 64 years,Both sexes,Low Human Development Index (HDI),PEA27C01,582.0
2024,75 - 79 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,578.0
2024,50 - 54 years,Male,Low Human Development Index (HDI),PEA27C01,565.0
2024,20 - 24 years,Male,Low Human Development Index (HDI),PEA27C01,562.0
2023,20 - 24 years,Male,Low Human Development Index (HDI),PEA27C01,549.0
2023,75 - 79 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,528.0
2023,50 - 54 years,Male,Low Human Development Index (HDI),PEA27C01,504.0
2024,50 - 54 years,Female,Low Human Development Index (HDI),PEA27C01,502.0
2024,10 - 14 years,Male,Low Human Development Index (HDI),PEA27C01,500.0
2024,15 - 19 years,Male,Low Human Development Index (HDI),PEA27C01,495.0
2023,15 - 19 years,Female,Low Human Development Index (HDI),PEA27C01,493.0
2023,70 - 74 years,Male,High Human Development Index (HDI),PEA27C01,492.0
2024,70 - 74 years,Male,High Human Development Index (HDI),PEA27C01,476.0
2023,10 - 14 years,Male,Low Human Development Index (HDI),PEA27C01,447.0
2024,55 - 59 years,Male,Low Human Development Index (HDI),PEA27C01,441.0
2024,10 - 14 years,Female,Low Human Development Index (HDI),PEA27C01,435.0
2023,50 - 54 years,Female,Low Human Development Index (HDI),PEA27C01,431.0
2023,10 - 14 years,Female,Low Human Development Index (HDI),PEA27C01,429.0
2024,85 years and over,Both sexes,High Human Development Index (HDI),PEA27C01,428.0
2024,70 - 74 years,Male,Medium Human Development Index (HDI),PEA27C01,424.0
2023,15 - 19 years,Male,Low Human Development Index (HDI),PEA27C01,419.0
2024,65 - 69 years,Both sexes,Low Human Development Index (HDI),PEA27C01,415.0
2023,70 - 74 years,Male,Medium Human Development Index (HDI),PEA27C01,410.0
2023,55 - 59 years,Male,Low Human Development Index (HDI),PEA27C01,407.0
2024,5 - 9 years,Male,Low Human Development Index (HDI),PEA27C01,394.0
2024,85 years and over,Both sexes,Medium Human Development Index (HDI),PEA27C01,384.0
2023,85 years and over,Both sexes,Medium Human Development Index (HDI),PEA27C01,381.0
2024,70 - 74 years,Female,High Human Development Index (HDI),PEA27C01,376.0
2023,85 years and over,Both sexes,High Human Development Index (HDI),PEA27C01,376.0
2023,Under 5 years,Female,Low Human Development Index (HDI),PEA27C01,364.0
2023,5 - 9 years,Male,Low Human Development Index (HDI),PEA27C01,363.0
2024,80 - 84 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,362.0
2023,75 - 79 years,Male,High Human Development Index (HDI),PEA27C01,359.0
2023,5 - 9 years,Female,Low Human Development Index (HDI),PEA27C01,359.0
2024,5 - 9 years,Female,Low Human Development Index (HDI),PEA27C01,356.0
2024,75 - 79 years,Male,High Human Development Index (HDI),PEA27C01,350.0
2023,Under 5 years,Male,Low Human Development Index (HDI),PEA27C01,350.0
2024,80 - 84 years,Both sexes,High Human Development Index (HDI),PEA27C01,350.0
2024,Under 5 years,Male,Low Human Development Index (HDI),PEA27C01,349.0
2023,70 - 74 years,Female,Medium Human Development Index (HDI),PEA27C01,347.0
2023,55 - 59 years,Female,Low Human Development Index (HDI),PEA27C01,345.0
2024,Under 5 years,Female,Low Human Development Index (HDI),PEA27C01,340.0
2024,60 - 64 years,Male,Low Human Development Index (HDI),PEA27C01,338.0
2023,80 - 84 years,Both sexes,High Human Development Index (HDI),PEA27C01,335.0
2024,70 - 74 years,Female,Medium Human Development Index (HDI),PEA27C01,333.0
2023,70 - 74 years,Female,High Human Development Index (HDI),PEA27C01,332.0
2023,65 - 69 years,Both sexes,Low Human Development Index (HDI),PEA27C01,325.0
2024,75 - 79 years,Male,Medium Human Development Index (HDI),PEA27C01,325.0
2023,80 - 84 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,323.0
2024,60 - 64 years,Female,Low Human Development Index (HDI),PEA27C01,317.0
2024,55 - 59 years,Female,Low Human Development Index (HDI),PEA27C01,315.0
2023,75 - 79 years,Male,Medium Human Development Index (HDI),PEA27C01,300.0
2023,60 - 64 years,Male,Low Human Development Index (HDI),PEA27C01,297.0
2024,75 - 79 years,Female,High Human Development Index (HDI),PEA27C01,297.0
2023,60 - 64 years,Female,Low Human Development Index (HDI),PEA27C01,285.0
2024,75 - 79 years,Female,Medium Human Development Index (HDI),PEA27C01,253.0
2023,75 - 79 years,Female,High Human Development Index (HDI),PEA27C01,246.0
2023,75 - 79 years,Female,Medium Human Development Index (HDI),PEA27C01,228.0
2024,70 - 74 years,Both sexes,Low Human Development Index (HDI),PEA27C01,224.0
2024,85 years and over,Male,High Human Development Index (HDI),PEA27C01,219.0
2024,85 years and over,Male,Medium Human Development Index (HDI),PEA27C01,216.0
2024,65 - 69 years,Male,Low Human Development Index (HDI),PEA27C01,212.0
2024,80 - 84 years,Male,Medium Human Development Index (HDI),PEA27C01,211.0
2024,85 years and over,Female,High Human Development Index (HDI),PEA27C01,209.0
2023,70 - 74 years,Both sexes,Low Human Development Index (HDI),PEA27C01,208.0
2024,65 - 69 years,Female,Low Human Development Index (HDI),PEA27C01,203.0
2024,80 - 84 years,Male,High Human Development Index (HDI),PEA27C01,202.0
2023,80 - 84 years,Male,High Human Development Index (HDI),PEA27C01,198.0
2023,85 years and over,Female,Medium Human Development Index (HDI),PEA27C01,195.0
2023,85 years and over,Male,High Human Development Index (HDI),PEA27C01,193.0
2023,80 - 84 years,Male,Medium Human Development Index (HDI),PEA27C01,189.0
2023,85 years and over,Male,Medium Human Development Index (HDI),PEA27C01,186.0
2023,85 years and over,Female,High Human Development Index (HDI),PEA27C01,183.0
2023,65 - 69 years,Male,Low Human Development Index (HDI),PEA27C01,171.0
2024,85 years and over,Female,Medium Human Development Index (HDI),PEA27C01,168.0
2023,65 - 69 years,Female,Low Human Development Index (HDI),PEA27C01,154.0
2024,80 - 84 years,Female,Medium Human Development Index (HDI),PEA27C01,151.0
2024,80 - 84 years,Female,High Human Development Index (HDI),PEA27C01,148.0
2023,75 - 79 years,Both sexes,Low Human Development Index (HDI),PEA27C01,144.0
2023,80 - 84 years,Female,High Human Development Index (HDI),PEA27C01,137.0
2023,80 - 84 years,Female,Medium Human Development Index (HDI),PEA27C01,134.0
2024,70 - 74 years,Male,Low Human Development Index (HDI),PEA27C01,131.0
2024,75 - 79 years,Both sexes,Low Human Development Index (HDI),PEA27C01,124.0
2023,70 - 74 years,Male,Low Human Development Index (HDI),PEA27C01,124.0
2024,80 - 84 years,Both sexes,Low Human Development Index (HDI),PEA27C01,111.0
2024,85 years and over,Both sexes,Low Human Development Index (HDI),PEA27C01,103.0
2023,85 years and over,Both sexes,Low Human Development Index (HDI),PEA27C01,103.0
2024,70 - 74 years,Female,Low Human Development Index (HDI),PEA27C01,93.0
2023,70 - 74 years,Female,Low Human Development Index (HDI),PEA27C01,84.0
2023,80 - 84 years,Both sexes,Low Human Development Index (HDI),PEA27C01,77.0
2023,75 - 79 years,Male,Low Human Development Index (HDI),PEA27C01,77.0
2024,75 - 79 years,Male,Low Human Development Index (HDI),PEA27C01,73.0
2023,75 - 79 years,Female,Low Human Development Index (HDI),PEA27C01,67.0
2024,85 years and over,Female,Low Human Development Index (HDI),PEA27C01,59.0
2024,80 - 84 years,Male,Low Human Development Index (HDI),PEA27C01,59.0
2023,85 years and over,Male,Low Human Development Index (HDI),PEA27C01,55.0
2024,80 - 84 years,Female,Low Human Development Index (HDI),PEA27C01,52.0
2023,80 - 84 years,Male,Low Human Development Index (HDI),PEA27C01,51.0
2024,75 - 79 years,Female,Low Human Development Index (HDI),PEA27C01,51.0
2023,85 years and over,Female,Low Human Development Index (HDI),PEA27C01,48.0
2024,85 years and over,Male,Low Human Development Index (HDI),PEA27C01,44.0
2023,80 - 84 years,Female,Low Human Development Index (HDI),PEA27C01,26.0
