year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,25 - 29 years,Male,Medium Human Development Index (HDI),PEA27C01,4702.0
2023,85 years and over,Female,Very High Human Development Index (HDI),PEA27C01,4530.0
2023,80 - 84 years,Female,Very High Human Development Index (HDI),PEA27C01,4460.0
2024,20 - 24 years,Female,High Human Development Index (HDI),PEA27C01,4434.0
2024,80 - 84 years,Male,Very High Human Development Index (HDI),PEA27C01,4414.0
2023,85 years and over,Male,Human Development Index (HDI) - All ratings,PEA27C01,4389.0
2024,Under 5 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4331.0
2023,20 - 24 years,Female,High Human Development Index (HDI),PEA27C01,4229.0
2023,Under 5 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4222.0
2024,60 - 64 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4218.0
2023,80 - 84 years,Male,Very High Human Development Index (HDI),PEA27C01,4177.0
2023,25 - 29 years,Both sexes,Low Human Development Index (HDI),PEA27C01,4176.0
2023,60 - 64 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,4155.0
2024,50 - 54 years,Male,High Human Development Index (HDI),PEA27C01,4115.0
2024,25 - 29 years,Both sexes,Low Human Development Index (HDI),PEA27C01,4103.0
2024,20 - 24 years,Male,High Human Development Index (HDI),PEA27C01,3921.0
2024,65 - 69 years,Both sexes,High Human Development Index (HDI),PEA27C01,3917.0
2024,50 - 54 years,Female,High Human Development Index (HDI),PEA27C01,3884.0
2024,40 - 44 years,Female,Low Human Development Index (HDI),PEA27C01,3871.0
2023,50 - 54 years,Male,High Human Development Index (HDI),PEA27C01,3849.0
2023,65 - 69 years,Both sexes,High Human Development Index (HDI),PEA27C01,3735.0
2024,35 - 39 years,Female,Low Human Development Index (HDI),PEA27C01,3701.0
2024,15 - 19 years,Female,High Human Development Index (HDI),PEA27C01,3680.0
2024,15 - 19 years,Male,High Human Development Index (HDI),PEA27C01,3662.0
2023,35 - 39 years,Female,Low Human Development Index (HDI),PEA27C01,3636.0
2024,40 - 44 years,Male,Low Human Development Index (HDI),PEA27C01,3613.0
2024,20 - 24 years,Female,Medium Human Development Index (HDI),PEA27C01,3602.0
2024,10 - 14 years,Male,High Human Development Index (HDI),PEA27C01,3591.0
2023,15 - 19 years,Female,High Human Development Index (HDI),PEA27C01,3565.0
2024,85 years and over,Male,Very High Human Development Index (HDI),PEA27C01,3536.0
2023,40 - 44 years,Male,Low Human Development Index (HDI),PEA27C01,3502.0
2023,20 - 24 years,Male,High Human Development Index (HDI),PEA27C01,3501.0
2023,50 - 54 years,Female,High Human Development Index (HDI),PEA27C01,3497.0
2023,40 - 44 years,Female,Low Human Development Index (HDI),PEA27C01,3462.0
2023,20 - 24 years,Female,Medium Human Development Index (HDI),PEA27C01,3449.0
2023,10 - 14 years,Male,High Human Development Index (HDI),PEA27C01,3435.0
2024,35 - 39 years,Male,Low Human Development Index (HDI),PEA27C01,3344.0
2024,10 - 14 years,Female,High Human Development Index (HDI),PEA27C01,3329.0
2023,10 - 14 years,Female,High Human Development Index (HDI),PEA27C01,3319.0
2024,50 - 54 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3273.0
2023,35 - 39 years,Male,Low Human Development Index (HDI),PEA27C01,3258.0
2023,15 - 19 years,Male,High Human Development Index (HDI),PEA27C01,3246.0
2024,50 - 54 years,Male,Medium Human Development Index (HDI),PEA27C01,3238.0
2023,85 years and over,Male,Very High Human Development Index (HDI),PEA27C01,3237.0
2024,15 - 19 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3213.0
2024,55 - 59 years,Male,High Human Development Index (HDI),PEA27C01,3170.0
2024,10 - 14 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3168.0
2024,20 - 24 years,Male,Medium Human Development Index (HDI),PEA27C01,3155.0
2024,20 - 24 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3144.0
2024,50 - 54 years,Female,Medium Human Development Index (HDI),PEA27C01,3119.0
2023,10 - 14 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3098.0
2023,55 - 59 years,Male,High Human Development Index (HDI),PEA27C01,3089.0
2023,50 - 54 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3063.0
2024,55 - 59 years,Female,High Human Development Index (HDI),PEA27C01,3052.0
2024,65 - 69 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,3051.0
2023,5 - 9 years,Male,High Human Development Index (HDI),PEA27C01,3042.0
2023,15 - 19 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3041.0
2024,5 - 9 years,Male,High Human Development Index (HDI),PEA27C01,3040.0
2023,50 - 54 years,Male,Medium Human Development Index (HDI),PEA27C01,3032.0
2023,20 - 24 years,Both sexes,Low Human Development Index (HDI),PEA27C01,3015.0
2023,30 - 34 years,Female,Low Human Development Index (HDI),PEA27C01,2996.0
2024,15 - 19 years,Female,Medium Human Development Index (HDI),PEA27C01,2966.0
2024,30 - 34 years,Female,Low Human Development Index (HDI),PEA27C01,2926.0
2023,10 - 14 years,Male,Medium Human Development Index (HDI),PEA27C01,2922.0
2024,5 - 9 years,Female,High Human Development Index (HDI),PEA27C01,2901.0
2024,15 - 19 years,Male,Medium Human Development Index (HDI),PEA27C01,2877.0
2023,65 - 69 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2871.0
2023,5 - 9 years,Female,High Human Development Index (HDI),PEA27C01,2868.0
2023,20 - 24 years,Male,Medium Human Development Index (HDI),PEA27C01,2857.0
2024,10 - 14 years,Male,Medium Human Development Index (HDI),PEA27C01,2851.0
2023,50 - 54 years,Female,Medium Human Development Index (HDI),PEA27C01,2836.0
2023,30 - 34 years,Male,Low Human Development Index (HDI),PEA27C01,2821.0
2023,55 - 59 years,Female,High Human Development Index (HDI),PEA27C01,2808.0
2024,70 - 74 years,Both sexes,High Human Development Index (HDI),PEA27C01,2791.0
2023,15 - 19 years,Female,Medium Human Development Index (HDI),PEA27C01,2790.0
2024,60 - 64 years,Male,High Human Development Index (HDI),PEA27C01,2757.0
2024,10 - 14 years,Female,Medium Human Development Index (HDI),PEA27C01,2741.0
2024,30 - 34 years,Male,Low Human Development Index (HDI),PEA27C01,2714.0
2024,45 - 49 years,Male,Low Human Development Index (HDI),PEA27C01,2701.0
2023,10 - 14 years,Female,Medium Human Development Index (HDI),PEA27C01,2700.0
2024,5 - 9 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2696.0
2023,5 - 9 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2684.0
2023,70 - 74 years,Both sexes,High Human Development Index (HDI),PEA27C01,2681.0
2023,Under 5 years,Male,High Human Development Index (HDI),PEA27C01,2631.0
2024,60 - 64 years,Female,High Human Development Index (HDI),PEA27C01,2619.0
2023,15 - 19 years,Male,Medium Human Development Index (HDI),PEA27C01,2617.0
2024,45 - 49 years,Female,Low Human Development Index (HDI),PEA27C01,2614.0
2024,Under 5 years,Female,High Human Development Index (HDI),PEA27C01,2610.0
2024,55 - 59 years,Male,Medium Human Development Index (HDI),PEA27C01,2595.0
2023,Under 5 years,Female,High Human Development Index (HDI),PEA27C01,2595.0
2024,Under 5 years,Male,High Human Development Index (HDI),PEA27C01,2591.0
2023,55 - 59 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2583.0
2024,55 - 59 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2529.0
2023,55 - 59 years,Male,Medium Human Development Index (HDI),PEA27C01,2515.0
2023,45 - 49 years,Male,Low Human Development Index (HDI),PEA27C01,2509.0
2024,55 - 59 years,Female,Medium Human Development Index (HDI),PEA27C01,2509.0
2023,60 - 64 years,Male,High Human Development Index (HDI),PEA27C01,2500.0
2023,5 - 9 years,Male,Medium Human Development Index (HDI),PEA27C01,2482.0
2024,5 - 9 years,Male,Medium Human Development Index (HDI),PEA27C01,2481.0
2024,5 - 9 years,Female,Medium Human Development Index (HDI),PEA27C01,2422.0
2023,60 - 64 years,Female,High Human Development Index (HDI),PEA27C01,2393.0
2023,Under 5 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2391.0
2023,5 - 9 years,Female,Medium Human Development Index (HDI),PEA27C01,2342.0
2023,55 - 59 years,Female,Medium Human Development Index (HDI),PEA27C01,2328.0
2024,60 - 64 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2313.0
2024,Under 5 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2295.0
2023,45 - 49 years,Female,Low Human Development Index (HDI),PEA27C01,2285.0
2024,70 - 74 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2268.0
2024,75 - 79 years,Both sexes,High Human Development Index (HDI),PEA27C01,2212.0
2024,Under 5 years,Male,Medium Human Development Index (HDI),PEA27C01,2189.0
2023,70 - 74 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,2188.0
2024,60 - 64 years,Male,Medium Human Development Index (HDI),PEA27C01,2186.0
2024,25 - 29 years,Female,Low Human Development Index (HDI),PEA27C01,2164.0
2023,Under 5 years,Male,Medium Human Development Index (HDI),PEA27C01,2154.0
2024,Under 5 years,Female,Medium Human Development Index (HDI),PEA27C01,2142.0
2023,60 - 64 years,Male,Medium Human Development Index (HDI),PEA27C01,2133.0
2023,75 - 79 years,Both sexes,High Human Development Index (HDI),PEA27C01,2128.0
2023,25 - 29 years,Female,Low Human Development Index (HDI),PEA27C01,2123.0
2023,60 - 64 years,Both sexes,Low Human Development Index (HDI),PEA27C01,2081.0
2023,Under 5 years,Female,Medium Human Development Index (HDI),PEA27C01,2068.0
2023,25 - 29 years,Male,Low Human Development Index (HDI),PEA27C01,2053.0
2024,65 - 69 years,Male,High Human Development Index (HDI),PEA27C01,2048.0
2024,60 - 64 years,Female,Medium Human Development Index (HDI),PEA27C01,2032.0
2023,60 - 64 years,Female,Medium Human Development Index (HDI),PEA27C01,2022.0
2023,65 - 69 years,Male,High Human Development Index (HDI),PEA27C01,1951.0
2024,25 - 29 years,Male,Low Human Development Index (HDI),PEA27C01,1939.0
2024,65 - 69 years,Female,High Human Development Index (HDI),PEA27C01,1869.0
2023,65 - 69 years,Female,High Human Development Index (HDI),PEA27C01,1784.0
2024,65 - 69 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1764.0
2024,50 - 54 years,Male,Low Human Development Index (HDI),PEA27C01,1745.0
2024,75 - 79 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,1701.0
2023,75 - 79 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,1670.0
2024,20 - 24 years,Female,Low Human Development Index (HDI),PEA27C01,1615.0
2024,15 - 19 years,Male,Low Human Development Index (HDI),PEA27C01,1615.0
2023,50 - 54 years,Male,Low Human Development Index (HDI),PEA27C01,1599.0
2024,15 - 19 years,Female,Low Human Development Index (HDI),PEA27C01,1598.0
2024,10 - 14 years,Male,Low Human Development Index (HDI),PEA27C01,1596.0
2023,65 - 69 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1583.0
2024,65 - 69 years,Male,Medium Human Development Index (HDI),PEA27C01,1581.0
2024,10 - 14 years,Female,Low Human Development Index (HDI),PEA27C01,1572.0
2023,10 - 14 years,Male,Low Human Development Index (HDI),PEA27C01,1567.0
2023,20 - 24 years,Female,Low Human Development Index (HDI),PEA27C01,1557.0
2023,10 - 14 years,Female,Low Human Development Index (HDI),PEA27C01,1531.0
2023,15 - 19 years,Female,Low Human Development Index (HDI),PEA27C01,1529.0
2024,20 - 24 years,Male,Low Human Development Index (HDI),PEA27C01,1529.0
2024,50 - 54 years,Female,Low Human Development Index (HDI),PEA27C01,1528.0
2023,15 - 19 years,Male,Low Human Development Index (HDI),PEA27C01,1512.0
2023,65 - 69 years,Male,Medium Human Development Index (HDI),PEA27C01,1490.0
2024,65 - 69 years,Female,Medium Human Development Index (HDI),PEA27C01,1470.0
2023,50 - 54 years,Female,Low Human Development Index (HDI),PEA27C01,1464.0
2023,20 - 24 years,Male,Low Human Development Index (HDI),PEA27C01,1458.0
2024,70 - 74 years,Male,High Human Development Index (HDI),PEA27C01,1425.0
2024,5 - 9 years,Male,Low Human Development Index (HDI),PEA27C01,1397.0
2023,65 - 69 years,Female,Medium Human Development Index (HDI),PEA27C01,1381.0
2023,70 - 74 years,Male,High Human Development Index (HDI),PEA27C01,1371.0
2024,70 - 74 years,Female,High Human Development Index (HDI),PEA27C01,1366.0
2023,5 - 9 years,Male,Low Human Development Index (HDI),PEA27C01,1348.0
2024,85 years and over,Both sexes,High Human Development Index (HDI),PEA27C01,1343.0
2023,5 - 9 years,Female,Low Human Development Index (HDI),PEA27C01,1336.0
2023,55 - 59 years,Male,Low Human Development Index (HDI),PEA27C01,1322.0
2024,55 - 59 years,Male,Low Human Development Index (HDI),PEA27C01,1317.0
2024,80 - 84 years,Both sexes,High Human Development Index (HDI),PEA27C01,1312.0
2023,70 - 74 years,Female,High Human Development Index (HDI),PEA27C01,1310.0
2024,5 - 9 years,Female,Low Human Development Index (HDI),PEA27C01,1299.0
2024,70 - 74 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1281.0
2023,55 - 59 years,Female,Low Human Development Index (HDI),PEA27C01,1261.0
2023,Under 5 years,Male,Low Human Development Index (HDI),PEA27C01,1237.0
2023,70 - 74 years,Both sexes,Low Human Development Index (HDI),PEA27C01,1221.0
2024,55 - 59 years,Female,Low Human Development Index (HDI),PEA27C01,1212.0
2023,80 - 84 years,Both sexes,High Human Development Index (HDI),PEA27C01,1203.0
2023,85 years and over,Both sexes,High Human Development Index (HDI),PEA27C01,1199.0
2024,70 - 74 years,Male,Medium Human Development Index (HDI),PEA27C01,1196.0
2024,60 - 64 years,Female,Low Human Development Index (HDI),PEA27C01,1160.0
2024,Under 5 years,Female,Low Human Development Index (HDI),PEA27C01,1159.0
2023,Under 5 years,Female,Low Human Development Index (HDI),PEA27C01,1154.0
2024,60 - 64 years,Male,Low Human Development Index (HDI),PEA27C01,1153.0
2023,70 - 74 years,Male,Medium Human Development Index (HDI),PEA27C01,1148.0
2024,Under 5 years,Male,Low Human Development Index (HDI),PEA27C01,1136.0
2024,75 - 79 years,Male,High Human Development Index (HDI),PEA27C01,1129.0
2023,75 - 79 years,Male,High Human Development Index (HDI),PEA27C01,1092.0
2023,60 - 64 years,Female,Low Human Development Index (HDI),PEA27C01,1085.0
2024,75 - 79 years,Female,High Human Development Index (HDI),PEA27C01,1083.0
2024,80 - 84 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,1078.0
2024,70 - 74 years,Female,Medium Human Development Index (HDI),PEA27C01,1072.0
2024,85 years and over,Both sexes,Medium Human Development Index (HDI),PEA27C01,1053.0
2023,80 - 84 years,Both sexes,Medium Human Development Index (HDI),PEA27C01,1049.0
2023,70 - 74 years,Female,Medium Human Development Index (HDI),PEA27C01,1040.0
2023,75 - 79 years,Female,High Human Development Index (HDI),PEA27C01,1036.0
2023,60 - 64 years,Male,Low Human Development Index (HDI),PEA27C01,996.0
2023,85 years and over,Both sexes,Medium Human Development Index (HDI),PEA27C01,955.0
2024,75 - 79 years,Both sexes,Low Human Development Index (HDI),PEA27C01,909.0
2024,65 - 69 years,Female,Low Human Development Index (HDI),PEA27C01,889.0
2024,65 - 69 years,Male,Low Human Development Index (HDI),PEA27C01,875.0
2023,75 - 79 years,Both sexes,Low Human Development Index (HDI),PEA27C01,868.0
2024,75 - 79 years,Female,Medium Human Development Index (HDI),PEA27C01,867.0
2023,75 - 79 years,Male,Medium Human Development Index (HDI),PEA27C01,841.0
2024,75 - 79 years,Male,Medium Human Development Index (HDI),PEA27C01,834.0
2023,75 - 79 years,Female,Medium Human Development Index (HDI),PEA27C01,829.0
2023,65 - 69 years,Male,Low Human Development Index (HDI),PEA27C01,827.0
2024,85 years and over,Female,High Human Development Index (HDI),PEA27C01,765.0
2023,65 - 69 years,Female,Low Human Development Index (HDI),PEA27C01,756.0
2023,85 years and over,Female,High Human Development Index (HDI),PEA27C01,658.0
2024,80 - 84 years,Male,High Human Development Index (HDI),PEA27C01,658.0
2024,70 - 74 years,Male,Low Human Development Index (HDI),PEA27C01,655.0
2024,80 - 84 years,Female,High Human Development Index (HDI),PEA27C01,654.0
2024,70 - 74 years,Female,Low Human Development Index (HDI),PEA27C01,626.0
2023,70 - 74 years,Male,Low Human Development Index (HDI),PEA27C01,619.0
2023,80 - 84 years,Male,High Human Development Index (HDI),PEA27C01,608.0
2023,70 - 74 years,Female,Low Human Development Index (HDI),PEA27C01,602.0
2023,80 - 84 years,Female,High Human Development Index (HDI),PEA27C01,595.0
2024,80 - 84 years,Both sexes,Low Human Development Index (HDI),PEA27C01,580.0
2024,85 years and over,Male,High Human Development Index (HDI),PEA27C01,578.0
2024,85 years and over,Female,Medium Human Development Index (HDI),PEA27C01,573.0
2023,80 - 84 years,Both sexes,Low Human Development Index (HDI),PEA27C01,549.0
2023,85 years and over,Female,Medium Human Development Index (HDI),PEA27C01,547.0
2024,80 - 84 years,Male,Medium Human Development Index (HDI),PEA27C01,545.0
2023,85 years and over,Male,High Human Development Index (HDI),PEA27C01,541.0
2023,80 - 84 years,Female,Medium Human Development Index (HDI),PEA27C01,539.0
2024,85 years and over,Both sexes,Low Human Development Index (HDI),PEA27C01,538.0
2024,80 - 84 years,Female,Medium Human Development Index (HDI),PEA27C01,533.0
2023,80 - 84 years,Male,Medium Human Development Index (HDI),PEA27C01,510.0
2023,85 years and over,Both sexes,Low Human Development Index (HDI),PEA27C01,505.0
2024,85 years and over,Male,Medium Human Development Index (HDI),PEA27C01,480.0
2023,75 - 79 years,Female,Low Human Development Index (HDI),PEA27C01,458.0
2024,75 - 79 years,Female,Low Human Development Index (HDI),PEA27C01,457.0
2024,75 - 79 years,Male,Low Human Development Index (HDI),PEA27C01,452.0
2023,75 - 79 years,Male,Low Human Development Index (HDI),PEA27C01,410.0
2023,85 years and over,Male,Medium Human Development Index (HDI),PEA27C01,408.0
2024,85 years and over,Female,Low Human Development Index (HDI),PEA27C01,340.0
2024,80 - 84 years,Female,Low Human Development Index (HDI),PEA27C01,321.0
2023,85 years and over,Female,Low Human Development Index (HDI),PEA27C01,302.0
2023,80 - 84 years,Male,Low Human Development Index (HDI),PEA27C01,281.0
2023,80 - 84 years,Female,Low Human Development Index (HDI),PEA27C01,268.0
2024,80 - 84 years,Male,Low Human Development Index (HDI),PEA27C01,259.0
2023,85 years and over,Male,Low Human Development Index (HDI),PEA27C01,203.0
2024,85 years and over,Male,Low Human Development Index (HDI),PEA27C01,198.0
