year,age_group,sex,human_development_index_rating,STATISTIC,value
2024,All ages,Female,Low Human Development Index (HDI),PEA27C01,29052.0
2023,45 - 49 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,28770.0
2024,55 - 59 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,28528.0
2024,All ages,Male,Low Human Development Index (HDI),PEA27C01,28238.0
2023,45 - 49 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,28222.0
2023,55 - 59 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,28206.0
2023,65 - 69 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,28190.0
2023,All ages,Female,Low Human Development Index (HDI),PEA27C01,27805.0
2023,30 - 34 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,27788.0
2024,30 - 34 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,27655.0
2023,All ages,Male,Low Human Development Index (HDI),PEA27C01,27522.0
2023,25 - 29 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,26352.0
2024,25 - 29 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,26120.0
2024,60 - 64 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,25480.0
2023,10 - 14 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,25108.0
2024,10 - 14 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,25098.0
2023,25 - 29 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,24751.0
2024,50 - 54 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,24678.0
2024,25 - 29 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,24341.0
2023,60 - 64 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,24180.0
2024,25 - 29 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,24145.0
2023,50 - 54 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,24045.0
2023,25 - 29 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,24042.0
2024,70 - 74 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,23692.0
2023,70 - 74 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,23243.0
2024,50 - 54 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,23199.0
2024,15 - 19 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,23022.0
2023,15 - 19 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,22916.0
2023,5 - 9 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,22630.0
2023,50 - 54 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,22101.0
2024,5 - 9 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,22029.0
2023,20 - 24 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,21710.0
2024,55 - 59 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,21680.0
2024,20 - 24 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,21592.0
2023,55 - 59 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,21341.0
2024,10 - 14 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,20939.0
2023,10 - 14 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,20800.0
2024,65 - 69 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,20794.0
2024,55 - 59 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,20703.0
2024,20 - 24 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,20420.0
2023,55 - 59 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,20188.0
2023,65 - 69 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,20001.0
2023,20 - 24 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,19999.0
2024,15 - 19 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,19877.0
2024,10 - 14 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,19839.0
2023,10 - 14 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,19782.0
2024,35 - 39 years,Both sexes,High Human Development Index (HDI),PEA27C01,19572.0
2024,15 - 19 years,Female,Human Development Index (HDI) - All ratings,PEA27C01,19543.0
2024,20 - 24 years,Male,Human Development Index (HDI) - All ratings,PEA27C01,19428.0
2023,Under 5 years,Both sexes,Very High Human Development Index (HDI),PEA27C01,19396.0
2024,40 - 44 years,Both sexes,High Human Development Index (HDI),PEA27C01,19176.0
2024,75 - 79 years,Both sexes,Human Development Index (HDI) - All ratings,PEA27C01,19128.0
