year,age_group,nuts_3_region,STATISTIC,value
2008,All ages,Ireland,VSA104C01,2.07
2009,All ages,Ireland,VSA104C01,2.06
2010,All ages,Ireland,VSA104C01,2.06
2007,All ages,Ireland,VSA104C01,2.03
2011,All ages,Ireland,VSA104C01,2.02
2022,45 - 49 years,Dublin,VSA104C02,2.0
2023,45 - 49 years,South-West,VSA104C02,2.0
1992,All ages,Ireland,VSA104C01,1.99
2002,All ages,Ireland,VSA104C01,1.98
2003,All ages,Ireland,VSA104C01,1.98
2012,All ages,Ireland,VSA104C01,1.98
2001,All ages,Ireland,VSA104C01,1.96
2004,All ages,Ireland,VSA104C01,1.95
1998,All ages,Ireland,VSA104C01,1.95
2006,All ages,Ireland,VSA104C01,1.94
1997,All ages,Ireland,VSA104C01,1.94
2021,All ages,Midland,VSA104C01,1.94
2021,All ages,Border,VSA104C01,1.94
2013,All ages,Ireland,VSA104C01,1.93
1993,All ages,Ireland,VSA104C01,1.91
2021,All ages,Mid-East,VSA104C01,1.91
1999,All ages,Ireland,VSA104C01,1.91
2022,45 - 49 years,South-East,VSA104C02,1.9
2022,45 - 49 years,West,VSA104C02,1.9
2023,45 - 49 years,Mid-West,VSA104C02,1.9
2017,45 - 49 years,Ireland,VSA104C02,1.9
2018,45 - 49 years,Ireland,VSA104C02,1.9
1984,45 - 49 years,Ireland,VSA104C02,1.9
2000,All ages,Ireland,VSA104C01,1.9
2023,45 - 49 years,Ireland,VSA104C02,1.9
2014,All ages,Ireland,VSA104C01,1.9
1996,All ages,Ireland,VSA104C01,1.89
2021,All ages,Mid-West,VSA104C01,1.89
2005,All ages,Ireland,VSA104C01,1.88
2015,All ages,Ireland,VSA104C01,1.86
1995,All ages,Ireland,VSA104C01,1.85
1994,All ages,Ireland,VSA104C01,1.85
2021,All ages,South-East,VSA104C01,1.84
2021,All ages,West,VSA104C01,1.83
2016,All ages,Ireland,VSA104C01,1.81
2023,All ages,Border,VSA104C01,1.81
2016,45 - 49 years,Ireland,VSA104C02,1.8
2023,45 - 49 years,South-East,VSA104C02,1.8
2023,All ages,Mid-East,VSA104C01,1.8
2021,45 - 49 years,South-East,VSA104C02,1.8
2022,All ages,Border,VSA104C01,1.77
2017,All ages,Ireland,VSA104C01,1.77
2018,All ages,Ireland,VSA104C01,1.75
2021,All ages,South-West,VSA104C01,1.74
2021,All ages,Ireland,VSA104C01,1.73
2022,All ages,South-East,VSA104C01,1.71
2019,All ages,Ireland,VSA104C01,1.71
2023,45 - 49 years,Mid-East,VSA104C02,1.7
2023,45 - 49 years,West,VSA104C02,1.7
1983,45 - 49 years,Ireland,VSA104C02,1.7
2022,45 - 49 years,Ireland,VSA104C02,1.7
2022,45 - 49 years,Mid-West,VSA104C02,1.7
2020,45 - 49 years,Ireland,VSA104C02,1.7
2022,All ages,Mid-East,VSA104C01,1.69
2023,All ages,Midland,VSA104C01,1.69
2023,All ages,South-East,VSA104C01,1.67
2022,All ages,Midland,VSA104C01,1.67
2020,All ages,Ireland,VSA104C01,1.65
2022,All ages,Mid-West,VSA104C01,1.65
2022,All ages,West,VSA104C01,1.62
2023,All ages,Mid-West,VSA104C01,1.6
2014,45 - 49 years,Ireland,VSA104C02,1.6
2023,All ages,West,VSA104C01,1.57
2022,All ages,Ireland,VSA104C01,1.53
2023,All ages,Ireland,VSA104C01,1.52
2021,All ages,Dublin,VSA104C01,1.51
2021,45 - 49 years,Ireland,VSA104C02,1.5
2021,45 - 49 years,South-West,VSA104C02,1.5
2022,45 - 49 years,Mid-East,VSA104C02,1.5
2021,45 - 49 years,West,VSA104C02,1.5
2022,All ages,South-West,VSA104C01,1.5
2013,45 - 49 years,Ireland,VSA104C02,1.5
1985,45 - 49 years,Ireland,VSA104C02,1.5
1986,45 - 49 years,Ireland,VSA104C02,1.5
2023,All ages,South-West,VSA104C01,1.46
2012,45 - 49 years,Ireland,VSA104C02,1.4
2015,45 - 49 years,Ireland,VSA104C02,1.4
2022,All ages,Dublin,VSA104C01,1.33
2023,45 - 49 years,Border,VSA104C02,1.3
1987,45 - 49 years,Ireland,VSA104C02,1.3
2023,All ages,Dublin,VSA104C01,1.29
2008,45 - 49 years,Ireland,VSA104C02,1.2
2009,45 - 49 years,Ireland,VSA104C02,1.1
2022,45 - 49 years,Border,VSA104C02,1.1
2010,45 - 49 years,Ireland,VSA104C02,1.1
1990,45 - 49 years,Ireland,VSA104C02,1.1
2011,45 - 49 years,Ireland,VSA104C02,1.1
1988,45 - 49 years,Ireland,VSA104C02,1.1
1989,45 - 49 years,Ireland,VSA104C02,1.1
2023,45 - 49 years,Midland,VSA104C02,1.0
1991,45 - 49 years,Ireland,VSA104C02,1.0
2021,45 - 49 years,Border,VSA104C02,1.0
2021,45 - 49 years,Midland,VSA104C02,1.0
2021,45 - 49 years,Mid-West,VSA104C02,1.0
2021,45 - 49 years,Mid-East,VSA104C02,1.0
2022,45 - 49 years,Midland,VSA104C02,0.9
1993,45 - 49 years,Ireland,VSA104C02,0.9
2007,45 - 49 years,Ireland,VSA104C02,0.8
1992,45 - 49 years,Ireland,VSA104C02,0.8
2006,45 - 49 years,Ireland,VSA104C02,0.8
1997,45 - 49 years,Ireland,VSA104C02,0.8
1995,45 - 49 years,Ireland,VSA104C02,0.8
1994,45 - 49 years,Ireland,VSA104C02,0.7
2001,45 - 49 years,Ireland,VSA104C02,0.7
2005,45 - 49 years,Ireland,VSA104C02,0.6
1999,45 - 49 years,Ireland,VSA104C02,0.6
1998,45 - 49 years,Ireland,VSA104C02,0.6
1996,45 - 49 years,Ireland,VSA104C02,0.6
2002,45 - 49 years,Ireland,VSA104C02,0.6
2004,45 - 49 years,Ireland,VSA104C02,0.5
2003,45 - 49 years,Ireland,VSA104C02,0.5
2000,45 - 49 years,Ireland,VSA104C02,0.5
