year,age_group,nuts_3_region,STATISTIC,value
1974,35 - 39 years,Ireland,VSA104C02,111.2
1982,20 - 24 years,Ireland,VSA104C02,110.2
2023,30 - 34 years,Ireland,VSA104C02,109.5
2022,30 - 34 years,South-West,VSA104C02,108.0
1995,25 - 29 years,Ireland,VSA104C02,106.7
2021,35 - 39 years,South-West,VSA104C02,106.6
1997,25 - 29 years,Ireland,VSA104C02,106.4
2022,30 - 34 years,Ireland,VSA104C02,106.4
1996,25 - 29 years,Ireland,VSA104C02,105.3
1998,25 - 29 years,Ireland,VSA104C02,103.1
1983,20 - 24 years,Ireland,VSA104C02,102.6
2022,35 - 39 years,West,VSA104C02,101.9
2021,30 - 34 years,Dublin,VSA104C02,100.7
2021,35 - 39 years,Mid-East,VSA104C02,100.4
1975,35 - 39 years,Ireland,VSA104C02,100.2
1999,25 - 29 years,Ireland,VSA104C02,99.4
2008,35 - 39 years,Ireland,VSA104C02,98.9
2021,35 - 39 years,Ireland,VSA104C02,98.6
2021,35 - 39 years,Border,VSA104C02,98.6
2009,35 - 39 years,Ireland,VSA104C02,98.5
2011,35 - 39 years,Ireland,VSA104C02,97.9
2010,35 - 39 years,Ireland,VSA104C02,97.9
2012,35 - 39 years,Ireland,VSA104C02,97.4
2021,35 - 39 years,Mid-West,VSA104C02,97.3
1980,35 - 39 years,Ireland,VSA104C02,97.3
2013,35 - 39 years,Ireland,VSA104C02,97.1
2014,35 - 39 years,Ireland,VSA104C02,96.8
2007,35 - 39 years,Ireland,VSA104C02,96.7
1978,35 - 39 years,Ireland,VSA104C02,96.5
2023,35 - 39 years,West,VSA104C02,96.1
2015,35 - 39 years,Ireland,VSA104C02,95.6
1984,20 - 24 years,Ireland,VSA104C02,95.4
2001,25 - 29 years,Ireland,VSA104C02,95.1
2000,25 - 29 years,Ireland,VSA104C02,95.1
2016,35 - 39 years,Ireland,VSA104C02,95.1
1976,35 - 39 years,Ireland,VSA104C02,94.9
1979,35 - 39 years,Ireland,VSA104C02,94.1
1977,35 - 39 years,Ireland,VSA104C02,93.9
2017,35 - 39 years,Ireland,VSA104C02,93.8
2002,25 - 29 years,Ireland,VSA104C02,93.7
1981,35 - 39 years,Ireland,VSA104C02,93.6
2021,35 - 39 years,Dublin,VSA104C02,93.0
2003,25 - 29 years,Ireland,VSA104C02,92.6
2018,35 - 39 years,Ireland,VSA104C02,92.6
2021,35 - 39 years,South-East,VSA104C02,92.3
2021,35 - 39 years,Midland,VSA104C02,92.3
2023,35 - 39 years,Mid-East,VSA104C02,91.9
1982,35 - 39 years,Ireland,VSA104C02,91.6
2019,35 - 39 years,Ireland,VSA104C02,91.6
2021,25 - 29 years,Midland,VSA104C02,91.3
2010,25 - 29 years,Ireland,VSA104C02,91.1
2006,35 - 39 years,Ireland,VSA104C02,90.8
2022,35 - 39 years,South-West,VSA104C02,90.4
2009,25 - 29 years,Ireland,VSA104C02,90.2
2021,25 - 29 years,Border,VSA104C02,89.3
2020,35 - 39 years,Ireland,VSA104C02,89.2
2011,25 - 29 years,Ireland,VSA104C02,88.9
2004,25 - 29 years,Ireland,VSA104C02,88.4
2022,35 - 39 years,Mid-East,VSA104C02,88.3
2022,35 - 39 years,Border,VSA104C02,88.2
2008,25 - 29 years,Ireland,VSA104C02,87.8
2023,35 - 39 years,Border,VSA104C02,87.8
1985,20 - 24 years,Ireland,VSA104C02,87.2
2022,30 - 34 years,Dublin,VSA104C02,86.5
2022,35 - 39 years,Mid-West,VSA104C02,86.4
2005,35 - 39 years,Ireland,VSA104C02,86.4
2012,25 - 29 years,Ireland,VSA104C02,86.0
2023,35 - 39 years,South-West,VSA104C02,85.6
2022,35 - 39 years,Ireland,VSA104C02,85.4
2004,35 - 39 years,Ireland,VSA104C02,85.2
1983,35 - 39 years,Ireland,VSA104C02,84.6
2023,35 - 39 years,Mid-West,VSA104C02,84.5
2007,25 - 29 years,Ireland,VSA104C02,84.1
2023,35 - 39 years,Ireland,VSA104C02,83.7
2023,30 - 34 years,Dublin,VSA104C02,83.6
2013,25 - 29 years,Ireland,VSA104C02,83.2
1986,20 - 24 years,Ireland,VSA104C02,83.1
2022,35 - 39 years,South-East,VSA104C02,82.9
2014,25 - 29 years,Ireland,VSA104C02,82.7
2003,35 - 39 years,Ireland,VSA104C02,82.3
2021,25 - 29 years,South-East,VSA104C02,82.3
2021,25 - 29 years,Mid-East,VSA104C02,82.2
2006,25 - 29 years,Ireland,VSA104C02,82.1
2022,25 - 29 years,Border,VSA104C02,81.9
2022,25 - 29 years,Midland,VSA104C02,81.4
2023,25 - 29 years,Border,VSA104C02,80.8
2023,25 - 29 years,Midland,VSA104C02,80.4
2002,35 - 39 years,Ireland,VSA104C02,80.0
2021,25 - 29 years,Mid-West,VSA104C02,79.9
2005,25 - 29 years,Ireland,VSA104C02,79.9
2015,25 - 29 years,Ireland,VSA104C02,79.5
2023,35 - 39 years,Midland,VSA104C02,79.4
1984,35 - 39 years,Ireland,VSA104C02,78.9
2022,35 - 39 years,Dublin,VSA104C02,78.4
2023,35 - 39 years,South-East,VSA104C02,77.4
2023,35 - 39 years,Dublin,VSA104C02,76.5
2023,25 - 29 years,Mid-East,VSA104C02,76.3
