year,area_of_residence,STATISTIC,value
2021,Longford,VSA94C06,3.6
2012,Wicklow,VSA94C06,3.6
2021,Kilkenny,VSA94C02,3.6
2023,West,VSA94C06,3.6
2021,Connacht,VSA94C04,3.6
2012,Limerick City,VSA94C02,3.6
2020,Wicklow,VSA94C06,3.6
2012,Wexford,VSA94C04,3.6
2021,Galway City,VSA94C08,3.6
2021,Longford,VSA94C02,3.6
2012,Mid-East,VSA94C02,3.6
2021,Louth,VSA94C06,3.6
2017,Connacht,VSA94C08,3.6
2013,Limerick City,VSA94C04,3.558718861
2013,State,VSA94C02,3.553093367
2013,Midland,VSA94C04,3.531073446
2013,Dublin,VSA94C02,3.518545668
2011,State,VSA94C02,3.5
2014,Longford,VSA94C06,3.5
2014,Longford,VSA94C04,3.5
2022,Dublin,VSA94C08,3.5
2014,Offaly,VSA94C04,3.5
2023,Leinster,VSA94C02,3.5
2014,Longford,VSA94C08,3.5
2020,Mid-West,VSA94C08,3.5
2017,South Dublin,VSA94C04,3.5
2021,Monaghan,VSA94C02,3.5
2011,South-East,VSA94C02,3.5
2016,Midland,VSA94C04,3.5
2014,Offaly,VSA94C08,3.5
2020,Cork County,VSA94C02,3.5
2018,Wicklow,VSA94C02,3.5
2011,West,VSA94C06,3.5
2012,Border,VSA94C02,3.5
2011,Clare,VSA94C04,3.5
2022,State,VSA94C02,3.5
2022,Cork City,VSA94C02,3.5
2011,Connacht,VSA94C04,3.5
2022,South-East,VSA94C04,3.5
2022,Cork City,VSA94C08,3.5
2012,Clare,VSA94C06,3.5
2018,Wicklow,VSA94C06,3.5
2014,Kerry,VSA94C06,3.5
2017,Clare,VSA94C08,3.5
2023,Midland,VSA94C08,3.5
2011,Connacht,VSA94C06,3.5
2022,Wexford,VSA94C08,3.5
2020,Dublin,VSA94C08,3.5
2012,Cork City,VSA94C06,3.5
2021,Dublin City,VSA94C02,3.5
2019,South-West,VSA94C08,3.5
2016,Mid-East,VSA94C08,3.5
2015,Wicklow,VSA94C04,3.5
2016,Ulster (part of),VSA94C02,3.5
2018,Louth,VSA94C02,3.5
2012,South-West,VSA94C02,3.5
2014,Waterford County,VSA94C06,3.5
2023,Connacht,VSA94C06,3.5
2015,Cork County,VSA94C08,3.5
2011,Midland,VSA94C02,3.5
2019,Munster,VSA94C08,3.5
2022,Leinster,VSA94C08,3.5
2015,Midland,VSA94C02,3.5
2018,Ulster (part of),VSA94C06,3.5
2022,Offaly,VSA94C08,3.5
2017,Kildare,VSA94C02,3.5
2017,Mid-East,VSA94C02,3.5
2016,Kerry,VSA94C06,3.5
2013,Border,VSA94C02,3.46740638
2013,Munster,VSA94C04,3.42619636
2013,Sligo,VSA94C02,3.401360544
2017,Kilkenny,VSA94C08,3.4
2023,Wexford,VSA94C08,3.4
2011,Monaghan,VSA94C02,3.4
2020,Dublin City,VSA94C02,3.4
2018,Limerick County,VSA94C02,3.4
2023,Cork City,VSA94C04,3.4
2017,West,VSA94C08,3.4
2022,Mid-East,VSA94C02,3.4
2015,State,VSA94C02,3.4
2017,Dun Laoghaire-Rathdown,VSA94C06,3.4
2021,Mid-West,VSA94C04,3.4
2014,Wicklow,VSA94C06,3.4
2016,Limerick County,VSA94C06,3.4
2016,Connacht,VSA94C02,3.4
2015,Laois,VSA94C08,3.4
2022,Dublin,VSA94C02,3.4
2019,Mid-East,VSA94C02,3.4
2015,Laois,VSA94C04,3.4
2015,Dublin City,VSA94C06,3.4
2016,Kilkenny,VSA94C08,3.4
2022,Kerry,VSA94C02,3.4
2018,Mayo,VSA94C06,3.4
2023,Kerry,VSA94C02,3.4
2018,Dun Laoghaire-Rathdown,VSA94C08,3.4
2021,Midland,VSA94C02,3.4
2015,West,VSA94C04,3.4
2018,Connacht,VSA94C06,3.4
2011,North Tipperary,VSA94C08,3.4
2021,Donegal,VSA94C08,3.4
2019,Wicklow,VSA94C02,3.4
2019,Wicklow,VSA94C04,3.4
2011,Border,VSA94C02,3.4
2018,Galway County,VSA94C02,3.4
2019,Galway County,VSA94C08,3.4
2020,Connacht,VSA94C04,3.4
2018,Galway County,VSA94C06,3.4
2012,Mid-West,VSA94C06,3.4
2019,Dublin City,VSA94C02,3.4
2011,Monaghan,VSA94C06,3.4
2015,Laois,VSA94C02,3.4
2023,Wexford,VSA94C02,3.4
2012,Galway City,VSA94C02,3.4
2020,Ulster (part of),VSA94C08,3.4
2022,Tipperary,VSA94C06,3.4
2012,Dublin City,VSA94C02,3.4
2016,South-East,VSA94C04,3.4
2012,Connacht,VSA94C02,3.4
2011,Fingal,VSA94C02,3.4
2023,Tipperary,VSA94C08,3.4
2022,South-West,VSA94C08,3.4
2012,Limerick County,VSA94C04,3.4
2020,Midland,VSA94C08,3.4
2013,Cork City,VSA94C02,3.360215054
2013,South Dublin,VSA94C04,3.314184711
2012,Galway County,VSA94C04,3.3
2019,Donegal,VSA94C06,3.3
2017,Meath,VSA94C06,3.3
2015,Kilkenny,VSA94C02,3.3
2011,South Tipperary,VSA94C04,3.3
2015,Kilkenny,VSA94C04,3.3
2016,Longford,VSA94C04,3.3
2016,South-West,VSA94C08,3.3
2021,Cork County,VSA94C04,3.3
2023,Border,VSA94C02,3.3
2020,South-East,VSA94C02,3.3
2016,Longford,VSA94C02,3.3
2022,Leinster,VSA94C02,3.3
2012,Galway County,VSA94C06,3.3
2014,Limerick County,VSA94C04,3.3
2012,Galway County,VSA94C02,3.3
2021,Wexford,VSA94C06,3.3
2021,Cork County,VSA94C08,3.3
2022,Fingal,VSA94C02,3.3
2016,Longford,VSA94C08,3.3
2014,South Dublin,VSA94C02,3.3
2011,West,VSA94C04,3.3
2021,Leinster,VSA94C08,3.3
2021,Wexford,VSA94C02,3.3
2021,Wexford,VSA94C04,3.3
2021,West,VSA94C04,3.3
2018,Munster,VSA94C08,3.3
2018,Kildare,VSA94C08,3.3
2021,Mid-East,VSA94C08,3.3
2023,State,VSA94C02,3.3
2021,South-East,VSA94C04,3.3
2014,Louth,VSA94C06,3.3
2012,South Tipperary,VSA94C08,3.3
2011,Mid-West,VSA94C04,3.3
2020,Waterford City,VSA94C04,3.3
2023,Dublin City,VSA94C02,3.3
2012,State,VSA94C02,3.3
2016,West,VSA94C06,3.3
2014,Louth,VSA94C04,3.3
2022,Connacht,VSA94C02,3.3
2017,Galway City,VSA94C02,3.3
2015,Cork City,VSA94C04,3.3
2012,South Tipperary,VSA94C06,3.3
2019,Mayo,VSA94C02,3.3
2016,Dun Laoghaire-Rathdown,VSA94C04,3.3
2014,Donegal,VSA94C08,3.3
2014,State,VSA94C02,3.3
2016,Louth,VSA94C06,3.3
2021,State,VSA94C02,3.3
2020,Dun Laoghaire-Rathdown,VSA94C06,3.3
2022,Midland,VSA94C08,3.3
2013,South Tipperary,VSA94C08,3.28407225
2013,Laois,VSA94C04,3.267973856
2013,Laois,VSA94C08,3.265306122
2013,Leinster,VSA94C02,3.257164499
2013,Longford,VSA94C04,3.25203252
2013,Longford,VSA94C02,3.25203252
2013,Waterford County,VSA94C08,3.232758621
2023,Waterford City,VSA94C08,3.2
2011,Leinster,VSA94C02,3.2
2019,Waterford City,VSA94C04,3.2
2020,Munster,VSA94C02,3.2
2015,Westmeath,VSA94C08,3.2
2023,Waterford City,VSA94C04,3.2
2011,Sligo,VSA94C06,3.2
2020,Laois,VSA94C04,3.2
2011,Sligo,VSA94C04,3.2
2019,Midland,VSA94C02,3.2
2012,West,VSA94C06,3.2
2020,West,VSA94C06,3.2
2015,Clare,VSA94C04,3.2
2016,Dublin,VSA94C02,3.2
2022,Louth,VSA94C02,3.2
2023,South-East,VSA94C04,3.2
2017,Leinster,VSA94C02,3.2
2011,Dun Laoghaire-Rathdown,VSA94C02,3.2
2019,Midland,VSA94C08,3.2
2019,South-East,VSA94C04,3.2
2023,Clare,VSA94C04,3.2
2020,South-West,VSA94C02,3.2
2022,Laois,VSA94C08,3.2
2023,Galway County,VSA94C04,3.2
2015,Dublin,VSA94C02,3.2
2022,Laois,VSA94C04,3.2
2018,Dublin City,VSA94C02,3.2
2019,South-East,VSA94C02,3.2
2011,Offaly,VSA94C04,3.2
2019,Waterford City,VSA94C02,3.2
2011,Ulster (part of),VSA94C06,3.2
2015,Louth,VSA94C04,3.2
2020,Cork City,VSA94C06,3.2
2015,Mayo,VSA94C04,3.2
2011,Cavan,VSA94C08,3.2
2018,Offaly,VSA94C06,3.2
2015,Louth,VSA94C02,3.2
2011,Cavan,VSA94C02,3.2
2014,Carlow,VSA94C04,3.2
2012,South-East,VSA94C02,3.2
2018,Mid-West,VSA94C04,3.2
2023,Midland,VSA94C02,3.2
2015,Leinster,VSA94C02,3.2
2020,Laois,VSA94C08,3.2
2020,Laois,VSA94C02,3.2
2011,South-West,VSA94C08,3.2
2011,Cavan,VSA94C04,3.2
2023,Wicklow,VSA94C04,3.2
2013,Mid-West,VSA94C06,3.196690485
2013,Cork County,VSA94C02,3.171079753
2013,Connacht,VSA94C06,3.14300681
2021,Munster,VSA94C04,3.1
2019,Cork City,VSA94C02,3.1
2022,Cavan,VSA94C04,3.1
2021,Dun Laoghaire-Rathdown,VSA94C08,3.1
2011,Galway County,VSA94C06,3.1
2017,Fingal,VSA94C08,3.1
2017,Wexford,VSA94C04,3.1
2015,Mid-East,VSA94C06,3.1
2011,Kildare,VSA94C06,3.1
2022,Cavan,VSA94C06,3.1
2021,Cavan,VSA94C08,3.1
2023,Connacht,VSA94C04,3.1
2021,Cavan,VSA94C02,3.1
2014,South-West,VSA94C08,3.1
2017,Westmeath,VSA94C02,3.1
2014,South-East,VSA94C02,3.1
2016,West,VSA94C04,3.1
2015,Limerick County,VSA94C04,3.1
2019,Mid-West,VSA94C08,3.1
2022,South-West,VSA94C02,3.1
2014,South-West,VSA94C02,3.1
2022,Waterford City,VSA94C04,3.1
2023,Mid-West,VSA94C02,3.1
2018,Kerry,VSA94C04,3.1
2020,State,VSA94C02,3.1
2022,Meath,VSA94C02,3.1
2014,West,VSA94C04,3.1
2015,South-East,VSA94C02,3.1
2018,West,VSA94C06,3.1
2016,Kildare,VSA94C08,3.1
2021,Ulster (part of),VSA94C08,3.1
2021,Border,VSA94C08,3.1
2021,Waterford City,VSA94C04,3.1
2021,Waterford City,VSA94C08,3.1
2022,Fingal,VSA94C04,3.1
2015,Munster,VSA94C02,3.1
2021,West,VSA94C06,3.1
2019,Cavan,VSA94C02,3.1
2016,Connacht,VSA94C06,3.1
2014,Mid-East,VSA94C08,3.1
2019,Leinster,VSA94C02,3.1
2020,Midland,VSA94C02,3.1
2019,Cork County,VSA94C02,3.1
2011,Meath,VSA94C04,3.1
2020,Clare,VSA94C08,3.1
2019,Dun Laoghaire-Rathdown,VSA94C02,3.1
2019,Dun Laoghaire-Rathdown,VSA94C06,3.1
2016,South Dublin,VSA94C04,3.1
2019,Cavan,VSA94C04,3.1
2011,Longford,VSA94C06,3.1
2023,Border,VSA94C08,3.1
2018,Waterford City,VSA94C08,3.1
2019,South Dublin,VSA94C08,3.1
2016,Wicklow,VSA94C02,3.1
2011,Meath,VSA94C06,3.1
2013,Mid-East,VSA94C06,3.097751262
2013,Donegal,VSA94C04,3.072196621
2021,Limerick County,VSA94C06,3.0
2021,Kilkenny,VSA94C03,3.0
2022,Waterford City,VSA94C07,3.0
2021,Limerick City,VSA94C03,3.0
2015,Monaghan,VSA94C03,3.0
2011,Kerry,VSA94C04,3.0
2015,Monaghan,VSA94C05,3.0
2015,Cavan,VSA94C03,3.0
2019,Kildare,VSA94C04,3.0
2011,Longford,VSA94C07,3.0
2019,Cavan,VSA94C03,3.0
2021,Longford,VSA94C07,3.0
2021,Louth,VSA94C04,3.0
2019,Carlow,VSA94C07,3.0
2022,Roscommon,VSA94C07,3.0
2018,Westmeath,VSA94C05,3.0
2011,Laois,VSA94C02,3.0
2011,Leitrim,VSA94C01,3.0
2022,Roscommon,VSA94C03,3.0
2022,Sligo,VSA94C06,3.0
2021,Limerick County,VSA94C02,3.0
2021,Limerick City,VSA94C01,3.0
2015,Leitrim,VSA94C07,3.0
2019,Cavan,VSA94C01,3.0
2015,Kildare,VSA94C03,3.0
2011,Laois,VSA94C08,3.0
2015,Galway City,VSA94C07,3.0
2011,Laois,VSA94C05,3.0
2015,Kerry,VSA94C06,3.0
2022,Roscommon,VSA94C01,3.0
2018,Westmeath,VSA94C03,3.0
2018,Westmeath,VSA94C01,3.0
2019,Cork City,VSA94C03,3.0
2015,Longford,VSA94C05,3.0
2022,Ulster (part of),VSA94C02,3.0
2011,Louth,VSA94C05,3.0
2019,Fingal,VSA94C06,3.0
2011,Kilkenny,VSA94C03,3.0
2021,Louth,VSA94C02,3.0
2018,Wicklow,VSA94C03,3.0
2022,Offaly,VSA94C07,3.0
2019,Galway County,VSA94C02,3.0
2022,Waterford City,VSA94C01,3.0
2019,Clare,VSA94C06,3.0
2019,Kerry,VSA94C07,3.0
2011,Fingal,VSA94C06,3.0
2011,Leitrim,VSA94C03,3.0
2020,Westmeath,VSA94C03,3.0
2012,Ulster (part of),VSA94C04,3.0
2022,Cavan,VSA94C05,3.0
2022,Border,VSA94C04,3.0
2012,Connacht,VSA94C04,3.0
2022,Carlow,VSA94C01,3.0
2020,Limerick City,VSA94C03,3.0
2021,Cavan,VSA94C07,3.0
2012,Clare,VSA94C03,3.0
2020,Leinster,VSA94C02,3.0
2014,Connacht,VSA94C04,3.0
2020,Laois,VSA94C07,3.0
2020,Laois,VSA94C03,3.0
2020,Laois,VSA94C01,3.0
2020,Kilkenny,VSA94C08,3.0
2020,Kilkenny,VSA94C07,3.0
2022,Cavan,VSA94C03,3.0
2021,Clare,VSA94C07,3.0
2014,Carlow,VSA94C03,3.0
2020,Kilkenny,VSA94C02,3.0
2020,Kilkenny,VSA94C01,3.0
2014,Cork City,VSA94C01,3.0
2012,Cavan,VSA94C01,3.0
2020,Kildare,VSA94C04,3.0
2020,Kerry,VSA94C05,3.0
2021,Cork City,VSA94C03,3.0
2022,Cork City,VSA94C03,3.0
2014,Donegal,VSA94C05,3.0
2014,Dun Laoghaire-Rathdown,VSA94C01,3.0
2014,Galway City,VSA94C03,3.0
2011,Wexford,VSA94C04,3.0
2022,Donegal,VSA94C02,3.0
2011,Westmeath,VSA94C05,3.0
2020,Longford,VSA94C01,3.0
2012,Connacht,VSA94C06,3.0
2011,Westmeath,VSA94C03,3.0
2013,Sligo,VSA94C01,3.0
2012,Limerick City,VSA94C01,3.0
2021,South Dublin,VSA94C05,3.0
2012,Leitrim,VSA94C07,3.0
2020,Westmeath,VSA94C05,3.0
2020,Waterford County,VSA94C07,3.0
2020,Waterford County,VSA94C03,3.0
2020,Waterford County,VSA94C01,3.0
2020,Waterford City,VSA94C01,3.0
2012,Leinster,VSA94C02,3.0
2013,Limerick City,VSA94C03,3.0
2020,Tipperary,VSA94C05,3.0
2013,Offaly,VSA94C03,3.0
2012,Kilkenny,VSA94C03,3.0
2020,Wexford,VSA94C03,3.0
2020,Wexford,VSA94C05,3.0
2013,Wicklow,VSA94C03,3.0
2021,Sligo,VSA94C07,3.0
2012,Galway City,VSA94C05,3.0
2020,Roscommon,VSA94C05,3.0
2021,Waterford County,VSA94C01,3.0
2013,South-West,VSA94C04,3.0
2021,Roscommon,VSA94C07,3.0
2013,Waterford County,VSA94C07,3.0
2013,Westmeath,VSA94C05,3.0
2021,Carlow,VSA94C07,3.0
2021,Cavan,VSA94C01,3.0
2021,Wicklow,VSA94C01,3.0
2021,Wicklow,VSA94C03,3.0
2012,Cork County,VSA94C02,3.0
2020,Louth,VSA94C05,3.0
2014,Kerry,VSA94C03,3.0
2020,Donegal,VSA94C03,3.0
2021,Meath,VSA94C01,3.0
2019,Louth,VSA94C08,3.0
2022,Laois,VSA94C03,3.0
2022,Laois,VSA94C07,3.0
2012,Mid-East,VSA94C04,3.0
2019,Roscommon,VSA94C07,3.0
2019,Roscommon,VSA94C05,3.0
2011,Offaly,VSA94C05,3.0
2022,Leitrim,VSA94C07,3.0
2022,Limerick City,VSA94C05,3.0
2011,North Tipperary,VSA94C03,3.0
2022,Limerick City,VSA94C07,3.0
2011,North Tipperary,VSA94C01,3.0
2022,Limerick County,VSA94C03,3.0
2011,Monaghan,VSA94C05,3.0
2014,Waterford City,VSA94C05,3.0
2014,Waterford County,VSA94C05,3.0
2013,Cavan,VSA94C01,3.0
2019,Louth,VSA94C05,3.0
2021,Fingal,VSA94C03,3.0
2011,Monaghan,VSA94C01,3.0
2019,Longford,VSA94C03,3.0
2019,Limerick County,VSA94C07,3.0
2019,Limerick County,VSA94C05,3.0
2011,Mid-East,VSA94C06,3.0
2011,Mid-East,VSA94C04,3.0
2022,Meath,VSA94C05,3.0
2021,Galway City,VSA94C07,3.0
2015,Carlow,VSA94C01,3.0
2015,Carlow,VSA94C03,3.0
2021,Kerry,VSA94C03,3.0
2015,Carlow,VSA94C05,3.0
2011,Sligo,VSA94C03,3.0
2014,Sligo,VSA94C07,3.0
2014,Kildare,VSA94C01,3.0
2022,Galway City,VSA94C02,3.0
2014,Kildare,VSA94C03,3.0
2014,Kilkenny,VSA94C01,3.0
2020,Cork City,VSA94C01,3.0
2014,Kilkenny,VSA94C03,3.0
2014,Kilkenny,VSA94C08,3.0
2020,Cavan,VSA94C08,3.0
2020,Cavan,VSA94C07,3.0
2022,Dun Laoghaire-Rathdown,VSA94C03,3.0
2020,Cavan,VSA94C02,3.0
2020,Cavan,VSA94C01,3.0
2011,Ulster (part of),VSA94C02,3.0
2020,Carlow,VSA94C03,3.0
2020,Carlow,VSA94C01,3.0
2020,Border,VSA94C08,3.0
2022,Galway City,VSA94C05,3.0
2022,Kilkenny,VSA94C01,3.0
2014,Mayo,VSA94C05,3.0
2019,Westmeath,VSA94C05,3.0
2019,Westmeath,VSA94C03,3.0
2014,Meath,VSA94C05,3.0
2019,Waterford County,VSA94C05,3.0
2022,Galway County,VSA94C03,3.0
2019,Waterford City,VSA94C07,3.0
2013,Clare,VSA94C05,3.0
2022,Kerry,VSA94C07,3.0
2021,Monaghan,VSA94C01,3.0
2014,Roscommon,VSA94C07,3.0
2019,South-West,VSA94C02,3.0
2013,Cavan,VSA94C03,3.0
2011,Sligo,VSA94C05,3.0
2014,Sligo,VSA94C01,3.0
2011,Limerick County,VSA94C06,3.0
2017,Offaly,VSA94C01,3.0
2016,Galway City,VSA94C01,3.0
2017,Monaghan,VSA94C07,3.0
1992,Waterford County,VSA94C01,3.0
2023,West,VSA94C04,3.0
1996,Waterford County,VSA94C01,3.0
2016,Galway City,VSA94C03,3.0
2005,Sligo,VSA94C01,3.0
1993,Clare,VSA94C01,3.0
1993,Galway City,VSA94C01,3.0
2010,Waterford County,VSA94C01,3.0
2010,Sligo,VSA94C01,3.0
2004,Roscommon,VSA94C01,3.0
2005,Wicklow,VSA94C01,3.0
2023,Galway City,VSA94C05,3.0
2015,Wicklow,VSA94C06,3.0
2023,Galway City,VSA94C03,3.0
2017,Monaghan,VSA94C01,3.0
2010,Longford,VSA94C01,3.0
2016,Carlow,VSA94C01,3.0
2016,Carlow,VSA94C03,3.0
2023,Galway City,VSA94C01,3.0
2023,Kerry,VSA94C05,3.0
2016,Waterford City,VSA94C01,3.0
2010,Westmeath,VSA94C01,3.0
2018,Dublin,VSA94C08,3.0
2004,Sligo,VSA94C01,3.0
2018,Munster,VSA94C02,3.0
2023,Kildare,VSA94C08,3.0
2023,Sligo,VSA94C05,3.0
2015,State,VSA94C06,3.0
1998,Cavan,VSA94C01,3.0
2018,Monaghan,VSA94C05,3.0
1997,Waterford County,VSA94C01,3.0
2017,Offaly,VSA94C02,3.0
2016,State,VSA94C02,3.0
1997,Galway City,VSA94C01,3.0
2004,Waterford City,VSA94C01,3.0
1997,Clare,VSA94C01,3.0
2017,Laois,VSA94C01,3.0
2016,Kilkenny,VSA94C03,3.0
1992,Roscommon,VSA94C01,3.0
1992,Waterford City,VSA94C01,3.0
2016,Kilkenny,VSA94C01,3.0
2004,Waterford County,VSA94C01,3.0
1996,Mayo,VSA94C01,3.0
1993,Kilkenny,VSA94C01,3.0
2006,Monaghan,VSA94C01,3.0
1994,Wexford,VSA94C01,3.0
2023,Dublin,VSA94C04,3.0
2007,Sligo,VSA94C01,3.0
2009,Waterford City,VSA94C01,3.0
2009,Roscommon,VSA94C01,3.0
2007,South Tipperary,VSA94C01,3.0
2009,Cavan,VSA94C01,3.0
1994,Waterford City,VSA94C01,3.0
2008,Offaly,VSA94C01,3.0
2017,Cavan,VSA94C03,3.0
2023,Donegal,VSA94C07,3.0
2017,Cavan,VSA94C05,3.0
2017,Clare,VSA94C05,3.0
2023,Cork City,VSA94C07,3.0
2008,Carlow,VSA94C01,3.0
2018,Leitrim,VSA94C07,3.0
2018,Limerick County,VSA94C03,3.0
2016,Cork City,VSA94C05,3.0
2016,Cork City,VSA94C01,3.0
2008,Monaghan,VSA94C01,3.0
2017,Limerick County,VSA94C03,3.0
2007,Longford,VSA94C01,3.0
2006,Offaly,VSA94C01,3.0
2007,Limerick City,VSA94C01,3.0
2023,Dun Laoghaire-Rathdown,VSA94C05,3.0
2017,Midland,VSA94C02,3.0
1993,Monaghan,VSA94C01,3.0
1995,Westmeath,VSA94C01,3.0
2018,Mayo,VSA94C03,3.0
2018,Mayo,VSA94C01,3.0
2017,Limerick City,VSA94C01,3.0
2018,Kerry,VSA94C05,3.0
2017,Limerick City,VSA94C03,3.0
1995,Sligo,VSA94C01,3.0
2017,Limerick City,VSA94C05,3.0
2017,Waterford County,VSA94C03,3.0
2010,Carlow,VSA94C01,3.0
1993,Sligo,VSA94C01,3.0
2023,Waterford City,VSA94C01,3.0
1995,North Tipperary,VSA94C01,3.0
2017,Carlow,VSA94C07,3.0
2007,Galway County,VSA94C01,3.0
2016,Clare,VSA94C03,3.0
2016,Laois,VSA94C01,3.0
2008,Limerick City,VSA94C01,3.0
2004,Offaly,VSA94C01,3.0
2018,Cavan,VSA94C01,3.0
2003,Cavan,VSA94C01,3.0
2000,Monaghan,VSA94C01,3.0
1999,Laois,VSA94C01,3.0
2016,Sligo,VSA94C05,3.0
2023,Leitrim,VSA94C08,3.0
2018,Carlow,VSA94C07,3.0
2022,Wexford,VSA94C05,3.0
2022,Westmeath,VSA94C01,3.0
2001,Galway City,VSA94C01,3.0
2018,Cavan,VSA94C03,3.0
2000,Offaly,VSA94C01,3.0
2003,Galway City,VSA94C01,3.0
2016,Sligo,VSA94C07,3.0
2017,Dublin City,VSA94C02,3.0
2015,South Tipperary,VSA94C01,3.0
2018,Cavan,VSA94C07,3.0
2023,Limerick County,VSA94C03,3.0
2023,Monaghan,VSA94C01,3.0
2000,Sligo,VSA94C01,3.0
2000,Cavan,VSA94C01,3.0
2015,North Tipperary,VSA94C07,3.0
2016,Midland,VSA94C05,3.0
2016,Mid-West,VSA94C06,3.0
2023,Wexford,VSA94C05,3.0
2002,Leitrim,VSA94C01,3.0
2017,State,VSA94C02,3.0
2002,Kilkenny,VSA94C01,3.0
2001,North Tipperary,VSA94C01,3.0
2017,South-East,VSA94C04,3.0
2016,Monaghan,VSA94C03,3.0
2016,Limerick City,VSA94C07,3.0
2023,Longford,VSA94C01,3.0
1990,Waterford City,VSA94C01,3.0
2023,Mayo,VSA94C03,3.0
2002,Waterford County,VSA94C01,3.0
2003,Carlow,VSA94C01,3.0
1991,Longford,VSA94C01,3.0
2015,South Tipperary,VSA94C03,3.0
2022,Wicklow,VSA94C03,3.0
1992,Galway City,VSA94C01,3.0
2003,Roscommon,VSA94C01,3.0
2018,Roscommon,VSA94C05,3.0
2003,Waterford City,VSA94C01,3.0
2023,Roscommon,VSA94C01,3.0
2015,South Tipperary,VSA94C07,3.0
2018,Roscommon,VSA94C03,3.0
2018,Roscommon,VSA94C01,3.0
2003,Louth,VSA94C01,3.0
2004,North Tipperary,VSA94C01,3.0
2018,Offaly,VSA94C05,3.0
1990,Longford,VSA94C01,3.0
2018,Cork City,VSA94C05,3.0
2016,Meath,VSA94C03,3.0
2018,Cork City,VSA94C07,3.0
2022,Wicklow,VSA94C06,3.0
2000,Waterford County,VSA94C01,3.0
2001,Carlow,VSA94C01,3.0
2016,Leinster,VSA94C02,3.0
1990,Roscommon,VSA94C01,3.0
2017,Waterford County,VSA94C01,3.0
2017,Galway City,VSA94C01,3.0
2017,Sligo,VSA94C07,3.0
2023,Leitrim,VSA94C01,3.0
2018,Clare,VSA94C05,3.0
1991,Galway City,VSA94C01,3.0
1991,Offaly,VSA94C01,3.0
2023,Meath,VSA94C03,3.0
2017,Sligo,VSA94C03,3.0
2013,Wexford,VSA94C06,2.905569007
2013,Border,VSA94C06,2.904162633
2018,Leinster,VSA94C02,2.9
2022,Cork County,VSA94C02,2.9
2021,Clare,VSA94C02,2.9
2016,Meath,VSA94C06,2.9
2021,Clare,VSA94C04,2.9
2023,Tipperary,VSA94C02,2.9
2014,Fingal,VSA94C02,2.9
2021,Border,VSA94C04,2.9
2017,Cavan,VSA94C04,2.9
2014,Dublin City,VSA94C06,2.9
2014,Leinster,VSA94C02,2.9
2020,Wexford,VSA94C08,2.9
2021,South Dublin,VSA94C02,2.9
2014,Mid-West,VSA94C06,2.9
2023,Roscommon,VSA94C04,2.9
2019,West,VSA94C06,2.9
2023,Ulster (part of),VSA94C02,2.9
2022,Kildare,VSA94C06,2.9
2020,Mid-West,VSA94C02,2.9
2021,Tipperary,VSA94C06,2.9
2022,Kilkenny,VSA94C02,2.9
2012,Kilkenny,VSA94C02,2.9
2016,Kerry,VSA94C02,2.9
2019,Wicklow,VSA94C06,2.9
2016,Galway County,VSA94C08,2.9
2012,Kilkenny,VSA94C06,2.9
2018,Cavan,VSA94C08,2.9
2016,Galway City,VSA94C04,2.9
2018,Fingal,VSA94C02,2.9
2016,Galway City,VSA94C02,2.9
2018,Cavan,VSA94C04,2.9
2018,Cavan,VSA94C02,2.9
2012,Dun Laoghaire-Rathdown,VSA94C06,2.9
2020,Connacht,VSA94C06,2.9
2016,Dun Laoghaire-Rathdown,VSA94C06,2.9
2016,Munster,VSA94C02,2.9
2020,Cork County,VSA94C04,2.9
2019,Meath,VSA94C06,2.9
2012,Clare,VSA94C02,2.9
2017,South-West,VSA94C08,2.9
2014,Kildare,VSA94C08,2.9
2016,Dublin City,VSA94C02,2.9
2011,Kildare,VSA94C02,2.9
2015,North Tipperary,VSA94C08,2.9
2021,Midland,VSA94C04,2.9
2018,Limerick County,VSA94C08,2.9
2011,Border,VSA94C06,2.9
2015,Cavan,VSA94C04,2.9
2022,Wexford,VSA94C02,2.9
2015,Galway City,VSA94C08,2.9
2017,Cork City,VSA94C06,2.9
2019,Dublin,VSA94C02,2.9
2022,Monaghan,VSA94C08,2.9
2022,Wexford,VSA94C04,2.9
2017,Dublin,VSA94C02,2.9
2022,Tipperary,VSA94C04,2.9
2023,Border,VSA94C04,2.9
2018,State,VSA94C02,2.9
2018,Midland,VSA94C08,2.9
2012,Munster,VSA94C06,2.9
2021,Galway County,VSA94C06,2.9
2021,Kerry,VSA94C02,2.9
2012,West,VSA94C02,2.9
2013,Wicklow,VSA94C02,2.892960463
2013,Cork County,VSA94C04,2.853971777
2013,Dun Laoghaire-Rathdown,VSA94C08,2.853067047
2013,Offaly,VSA94C04,2.801120448
2023,Sligo,VSA94C04,2.8
2022,Limerick City,VSA94C02,2.8
2017,Limerick County,VSA94C08,2.8
2011,Kilkenny,VSA94C02,2.8
2019,Dun Laoghaire-Rathdown,VSA94C04,2.8
2021,Dublin City,VSA94C04,2.8
2020,Tipperary,VSA94C02,2.8
2019,State,VSA94C02,2.8
2019,Donegal,VSA94C02,2.8
2011,Leinster,VSA94C06,2.8
2012,Meath,VSA94C06,2.8
2023,Kerry,VSA94C08,2.8
2017,Leinster,VSA94C06,2.8
2011,Border,VSA94C04,2.8
