STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,C02199V02655,C02199V02655_label,sex,value
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1,Male,Male,42705.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,2,Female,Female,40693.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,-,Both sexes,Both sexes,46046.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1,Male,Male,23693.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,2,Female,Female,22353.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,-,Both sexes,Both sexes,18554.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1,Male,Male,9476.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,2,Female,Female,9078.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,-,Both sexes,Both sexes,28716.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1,Male,Male,14557.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,2,Female,Female,14159.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,-,Both sexes,Both sexes,25951.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1,Male,Male,13092.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,2,Female,Female,12859.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,-,Both sexes,Both sexes,41076.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1,Male,Male,20868.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,2,Female,Female,20208.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,-,Both sexes,Both sexes,27683.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1,Male,Male,14015.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,2,Female,Female,13668.0
PEA26C01,Persons,Persons,2023,2023,2023,205,0 - 4 years,0 - 4 years,IE0,Ireland,Ireland,-,Both sexes,Both sexes,298007.0
