STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C02199V02655,C02199V02655_label,sex,C04292V05069,C04292V05069_label,human_development_index_rating,value
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),22630.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,18445.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),3042.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1348.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2482.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),11573.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,17603.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),2868.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1336.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2342.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),11057.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,40582.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),6754.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),3098.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),5622.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),25108.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,20800.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),3435.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1567.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2922.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),12876.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,19782.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),3319.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1531.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),2700.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),12232.0
