STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C02199V02655,C02199V02655_label,sex,C04292V05069,C04292V05069_label,human_development_index_rating,value
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),3873.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,5398.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),1559.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),363.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1472.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2004.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,5098.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),1519.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),359.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1351.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,245,5 - 9 years,5 - 9 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),1869.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,12433.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),3694.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),876.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),3264.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),4599.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,6371.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),1870.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),447.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1696.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2358.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,6062.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),1824.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),429.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1568.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,265,10 - 14 years,10 - 14 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2241.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,12481.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),3844.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),912.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),3386.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),4339.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,5880.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),1752.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,30,Low Human Development Index (HDI),Low Human Development Index (HDI),419.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1600.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,1,Male,Male,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2109.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,6601.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,20,High Human Development Index (HDI),High Human Development Index (HDI),2092.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,30,Low Human Development Index (HDI),Low Human Development Index (HDI),493.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),1786.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,300,15 - 19 years,15 - 19 years,2,Female,Female,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),2230.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,15926.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,20,High Human Development Index (HDI),High Human Development Index (HDI),4959.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,30,Low Human Development Index (HDI),Low Human Development Index (HDI),1186.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,40,Medium Human Development Index (HDI),Medium Human Development Index (HDI),4441.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,-,Both sexes,Both sexes,50,Very High Human Development Index (HDI),Very High Human Development Index (HDI),5340.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,10,Human Development Index (HDI) - All ratings,Human Development Index (HDI) - All ratings,7035.0
PEA27C01,Number of Persons,Number of Persons,2023,2023,2023,365,20 - 24 years,20 - 24 years,1,Male,Male,20,High Human Development Index (HDI),High Human Development Index (HDI),2099.0
