STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C02076V03371,C02076V03371_label,age_group,C03788V04538,C03788V04538_label,nuts_3_region,value
VSA104C01,Total period of fertility rate,Total period of fertility rate,2017,2017,2017,-,All ages,All ages,IE0,Ireland,Ireland,1.77
VSA104C01,Total period of fertility rate,Total period of fertility rate,2018,2018,2018,-,All ages,All ages,IE0,Ireland,Ireland,1.75
VSA104C01,Total period of fertility rate,Total period of fertility rate,2019,2019,2019,-,All ages,All ages,IE0,Ireland,Ireland,1.71
VSA104C01,Total period of fertility rate,Total period of fertility rate,2020,2020,2020,-,All ages,All ages,IE0,Ireland,Ireland,1.65
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1.94
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1.51
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1.91
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1.94
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1.89
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1.84
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1.74
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1.83
VSA104C01,Total period of fertility rate,Total period of fertility rate,2021,2021,2021,-,All ages,All ages,IE0,Ireland,Ireland,1.73
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1.77
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1.33
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1.69
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1.67
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1.65
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1.71
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1.5
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1.62
VSA104C01,Total period of fertility rate,Total period of fertility rate,2022,2022,2022,-,All ages,All ages,IE0,Ireland,Ireland,1.53
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,1.81
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,1.29
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,1.8
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,Midland,1.69
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,1.6
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,1.67
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,1.46
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,1.57
VSA104C01,Total period of fertility rate,Total period of fertility rate,2023,2023,2023,-,All ages,All ages,IE0,Ireland,Ireland,1.52
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,15.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,139.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,228.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,199.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,133.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,48.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1969,1969,1969,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,4.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,16.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,145.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,228.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,201.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,131.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,45.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1970,1970,1970,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,3.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,19.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,150.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,243.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,200.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,131.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,46.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1971,1971,1971,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,3.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,21.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,152.1
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,241.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,187.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,125.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,43.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1972,1972,1972,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,3.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,22.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,149.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,235.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,181.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,115.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,41.3
VSA104C02,Age specific fertility rates,Age specific fertility rates,1973,1973,1973,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.7
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,22.6
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,145.4
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,229.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,171.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,111.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,475,40 - 44 years,40 - 44 years,IE0,Ireland,Ireland,39.9
VSA104C02,Age specific fertility rates,Age specific fertility rates,1974,1974,1974,495,45 - 49 years,45 - 49 years,IE0,Ireland,Ireland,2.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,300,15 - 19 years,15 - 19 years,IE0,Ireland,Ireland,22.8
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,365,20 - 24 years,20 - 24 years,IE0,Ireland,Ireland,138.5
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,410,25 - 29 years,25 - 29 years,IE0,Ireland,Ireland,216.0
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,440,30 - 34 years,30 - 34 years,IE0,Ireland,Ireland,162.2
VSA104C02,Age specific fertility rates,Age specific fertility rates,1975,1975,1975,460,35 - 39 years,35 - 39 years,IE0,Ireland,Ireland,100.2
