STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03171V03833,C03171V03833_label,area_of_residence,value
VSA38,Birth Rates,Birth Rates,2009,2009,2009,161,Limerick City,Limerick City,14.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,162,Limerick County,Limerick County,17.6
VSA38,Birth Rates,Birth Rates,2009,2009,2009,171,North Tipperary,North Tipperary,17.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,172,South Tipperary,South Tipperary,15.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,181,Waterford City,Waterford City,17.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,182,Waterford County,Waterford County,15.8
VSA38,Birth Rates,Birth Rates,2009,2009,2009,C,Connacht,Connacht,15.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,191,Galway City,Galway City,13.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,192,Galway County,Galway County,17.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,200,Leitrim,Leitrim,16.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,210,Mayo,Mayo,14.0
VSA38,Birth Rates,Birth Rates,2009,2009,2009,220,Roscommon,Roscommon,14.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,230,Sligo,Sligo,15.5
VSA38,Birth Rates,Birth Rates,2009,2009,2009,D,Ulster (part of),Ulster (part of),15.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,240,Cavan,Cavan,18.3
VSA38,Birth Rates,Birth Rates,2009,2009,2009,250,Donegal,Donegal,15.2
VSA38,Birth Rates,Birth Rates,2009,2009,2009,260,Monaghan,Monaghan,14.2
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE11,Border,Border,15.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE12,Midland,Midland,18.1
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE13,West,West,15.7
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE21,Dublin,Dublin,17.1
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE22,Mid-East,Mid-East,19.3
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE23,Mid-West,Mid-West,16.9
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE24,South-East,South-East,16.4
VSA38,Birth Rates,Birth Rates,2009,2009,2009,IE25,South-West,South-West,16.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,-,State,State,16.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,A,Leinster,Leinster,17.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,010,Carlow,Carlow,18.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,021,Dublin City,Dublin City,16.0
VSA38,Birth Rates,Birth Rates,2010,2010,2010,022,South Dublin,South Dublin,18.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,023,Fingal,Fingal,20.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,024,Dun Laoghaire-Rathdown,Dun Laoghaire-Rathdown,13.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,030,Kildare,Kildare,19.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,040,Kilkenny,Kilkenny,15.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,050,Laois,Laois,17.9
VSA38,Birth Rates,Birth Rates,2010,2010,2010,060,Longford,Longford,17.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,070,Louth,Louth,16.0
VSA38,Birth Rates,Birth Rates,2010,2010,2010,080,Meath,Meath,19.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,090,Offaly,Offaly,16.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,100,Westmeath,Westmeath,17.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,110,Wexford,Wexford,15.7
VSA38,Birth Rates,Birth Rates,2010,2010,2010,120,Wicklow,Wicklow,18.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,B,Munster,Munster,15.7
VSA38,Birth Rates,Birth Rates,2010,2010,2010,130,Clare,Clare,14.4
VSA38,Birth Rates,Birth Rates,2010,2010,2010,141,Cork City,Cork City,14.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,142,Cork County,Cork County,17.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,150,Kerry,Kerry,13.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,161,Limerick City,Limerick City,13.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,162,Limerick County,Limerick County,17.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,171,North Tipperary,North Tipperary,17.5
VSA38,Birth Rates,Birth Rates,2010,2010,2010,172,South Tipperary,South Tipperary,13.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,181,Waterford City,Waterford City,18.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,182,Waterford County,Waterford County,14.8
VSA38,Birth Rates,Birth Rates,2010,2010,2010,C,Connacht,Connacht,15.3
VSA38,Birth Rates,Birth Rates,2010,2010,2010,191,Galway City,Galway City,16.1
VSA38,Birth Rates,Birth Rates,2010,2010,2010,192,Galway County,Galway County,16.6
VSA38,Birth Rates,Birth Rates,2010,2010,2010,200,Leitrim,Leitrim,14.9
VSA38,Birth Rates,Birth Rates,2010,2010,2010,210,Mayo,Mayo,14.2
VSA38,Birth Rates,Birth Rates,2010,2010,2010,220,Roscommon,Roscommon,14.1
